model,epoch,split,mode,n_repeats,add_mean,add_std,proj_mean,proj_std,cm_mean,cm_std
baseline,149,linemod_val,uniform,3,0.7991,0.0057,0.9980,0.0000,0.9814,0.0009
baseline,149,occ_val,uniform,3,0.1759,0.0105,0.6127,0.0021,0.1051,0.0016
exp001s,149,linemod_val,uniform,3,0.4817,0.0122,0.9960,0.0000,0.8949,0.0034
exp001s,149,linemod_val,weighted,3,0.5063,0.0073,0.9967,0.0009,0.9108,0.0041
exp001s,149,occ_val,uniform,3,0.1265,0.0048,0.6200,0.0029,0.0708,0.0014
exp001s,149,occ_val,weighted,3,0.1394,0.0021,0.6206,0.0024,0.0753,0.0057
exp001s,199,linemod_val,uniform,3,0.4325,0.0019,0.9894,0.0009,0.7964,0.0075
exp001s,199,linemod_val,weighted,3,0.4884,0.0052,0.9947,0.0025,0.8656,0.0047
exp001s,199,occ_val,uniform,3,0.1692,0.0097,0.6200,0.0044,0.0579,0.0008
exp001s,199,occ_val,weighted,3,0.1669,0.0063,0.6262,0.0040,0.0641,0.0036
baseline,199,linemod_val,uniform,3,0.8097,0.0052,0.9980,0.0000,0.9827,0.0034
baseline,199,occ_val,uniform,3,0.1821,0.0050,0.6172,0.0014,0.1068,0.0016
