epoch,split,ranking,keep,num,projection_error,add,cm_degree_5
149,linemod_val,learned,1.0,501,0.9980,0.4711,0.8982
149,linemod_val,learned,0.7,501,0.9980,0.5030,0.9022
149,linemod_val,learned,0.5,501,0.9980,0.5210,0.9142
149,linemod_val,learned,0.3,501,0.9980,0.5110,0.9361
149,linemod_val,random,1.0,501,0.9980,0.4711,0.8982
149,linemod_val,random,0.7,501,0.9980,0.4671,0.9022
149,linemod_val,random,0.5,501,0.9980,0.4551,0.9002
149,linemod_val,random,0.3,501,0.9980,0.4711,0.8982
149,linemod_val,true,1.0,501,0.9980,0.4711,0.8982
149,linemod_val,true,0.7,501,1.0000,0.7745,0.9721
149,linemod_val,true,0.5,501,1.0000,0.9102,0.9900
149,linemod_val,true,0.3,501,1.0000,0.9820,0.9980
149,occ_val,learned,1.0,593,0.6358,0.1400,0.0826
149,occ_val,learned,0.7,593,0.6256,0.1433,0.0944
149,occ_val,learned,0.5,593,0.6324,0.1602,0.0944
149,occ_val,learned,0.3,593,0.6239,0.1619,0.0860
149,occ_val,random,1.0,593,0.6358,0.1400,0.0826
149,occ_val,random,0.7,593,0.6307,0.1400,0.0826
149,occ_val,random,0.5,593,0.6341,0.1383,0.0793
149,occ_val,random,0.3,593,0.6341,0.1417,0.0809
149,occ_val,true,1.0,593,0.6358,0.1400,0.0826
149,occ_val,true,0.7,593,0.7184,0.2361,0.1855
149,occ_val,true,0.5,593,0.7690,0.2884,0.2749
149,occ_val,true,0.3,593,0.7993,0.3997,0.3811
199,linemod_val,learned,1.0,501,0.9800,0.4251,0.7725
199,linemod_val,learned,0.7,501,0.9960,0.5250,0.8962
199,linemod_val,learned,0.5,501,0.9940,0.5150,0.8902
199,linemod_val,learned,0.3,501,0.9980,0.5329,0.8982
199,linemod_val,random,1.0,501,0.9800,0.4232,0.7725
199,linemod_val,random,0.7,501,0.9800,0.4152,0.7665
199,linemod_val,random,0.5,501,0.9800,0.4152,0.7665
199,linemod_val,random,0.3,501,0.9860,0.4232,0.7665
199,linemod_val,true,1.0,501,0.9800,0.4251,0.7725
199,linemod_val,true,0.7,501,1.0000,0.7445,0.9880
199,linemod_val,true,0.5,501,1.0000,0.9182,0.9980
199,linemod_val,true,0.3,501,1.0000,0.9840,1.0000
199,occ_val,learned,1.0,593,0.6358,0.1788,0.0708
199,occ_val,learned,0.7,593,0.6442,0.1703,0.0843
199,occ_val,learned,0.5,593,0.6442,0.1703,0.0843
199,occ_val,learned,0.3,593,0.6459,0.1619,0.0809
199,occ_val,random,1.0,593,0.6358,0.1788,0.0708
199,occ_val,random,0.7,593,0.6374,0.1771,0.0725
199,occ_val,random,0.5,593,0.6341,0.1737,0.0708
199,occ_val,random,0.3,593,0.6358,0.1737,0.0725
199,occ_val,true,1.0,593,0.6358,0.1788,0.0708
199,occ_val,true,0.7,593,0.7403,0.2411,0.1855
199,occ_val,true,0.5,593,0.7858,0.3069,0.2901
199,occ_val,true,0.3,593,0.8078,0.3828,0.3912
