split,idx,rgb,mean_err_baseline_px,mean_err_weighted_px,kp_errs_baseline_px,kp_errs_weighted_px
LINEMOD,0,cat/JPEGImages/000000.jpg,0.922,0.940,1.282 0.983 0.256 0.706 0.961 1.857 1.127 0.683 0.439,1.547 0.870 0.232 0.945 0.794 1.881 1.127 0.725 0.336
LINEMOD,1,cat/JPEGImages/000006.jpg,0.982,1.050,2.103 0.498 0.740 1.314 1.007 1.386 0.784 0.469 0.541,2.011 0.830 0.848 1.227 1.267 1.447 0.697 0.536 0.592
LINEMOD,2,cat/JPEGImages/000008.jpg,0.847,0.885,1.327 0.115 0.583 0.681 1.532 1.072 0.800 0.945 0.565,1.238 0.430 0.617 0.740 1.722 1.119 0.603 0.794 0.703
LINEMOD,3,cat/JPEGImages/000009.jpg,1.015,1.027,0.597 1.573 0.657 0.433 1.786 1.111 0.766 1.810 0.404,0.651 1.544 0.752 0.307 1.806 1.098 0.626 1.904 0.551
LINEMOD,4,cat/JPEGImages/000010.jpg,0.962,1.018,1.467 0.698 0.756 1.725 1.585 0.684 0.324 0.922 0.497,1.557 0.672 0.831 1.801 1.619 0.895 0.442 1.008 0.333
OCC,0,RGB-D/rgb_noseg/color_00000.png,1.605,1.590,1.561 0.597 2.146 3.591 1.341 2.033 1.137 1.635 0.399,1.496 0.343 2.147 3.417 1.431 2.089 1.229 1.712 0.447
OCC,1,RGB-D/rgb_noseg/color_00001.png,2.549,2.564,1.823 0.695 7.005 4.331 2.253 1.013 2.893 2.832 0.091,1.905 0.685 7.067 4.426 2.027 1.125 2.922 2.857 0.066
OCC,2,RGB-D/rgb_noseg/color_00002.png,0.948,0.918,0.599 0.674 1.459 1.691 1.059 0.970 0.491 0.950 0.636,0.565 0.827 1.446 1.574 1.063 0.825 0.439 0.927 0.596
OCC,3,RGB-D/rgb_noseg/color_00003.png,2.122,2.236,0.348 0.804 4.803 4.143 2.745 0.949 1.528 2.384 1.396,0.540 1.084 4.836 4.402 2.968 0.932 1.651 2.364 1.351
OCC,4,RGB-D/rgb_noseg/color_00004.png,1.679,1.729,0.857 2.584 1.548 2.100 2.719 0.752 0.973 1.925 1.651,0.987 2.974 1.493 2.143 2.853 0.622 0.958 1.951 1.580
