epoch,split,n_images,n_pixels,pearson_r_vs_e,spearman_r_vs_e
5,occ_val,100,1099152,-0.3223,-0.2822
1,linemod_val,100,2362554,-0.1633,-0.1581
1,occ_val,100,1099152,-0.3207,-0.2873
5,linemod_val,100,2362554,-0.1778,-0.1654
5,occ_val,100,1099152,-0.3223,-0.2822
10,linemod_val,100,2362554,-0.1712,-0.1628
10,occ_val,100,1099152,-0.2862,-0.2724
20,linemod_val,100,2362554,-0.1764,-0.1655
20,occ_val,100,1099152,-0.2519,-0.2538
30,linemod_val,100,2362554,-0.1820,-0.1685
30,occ_val,100,1099152,-0.2488,-0.2370
49,linemod_val,100,2362554,-0.1832,-0.1681
49,occ_val,100,1099152,-0.2294,-0.2191
