epoch,stage,mean,std,min,max,p01,p10,p50,p90,p99,num_pixels
0,2,0.844318,0.218100,0.000000,1.000000,0.058182,0.530096,0.933626,1.000000,1.000000,992175
1,2,0.851998,0.209691,0.000000,1.000000,0.072625,0.555141,0.937552,1.000000,1.000000,971263
2,2,0.833729,0.227211,0.000000,1.000000,0.038610,0.498013,0.927931,1.000000,1.000000,978332
3,2,0.843381,0.215723,0.000000,1.000000,0.077255,0.525994,0.932454,1.000000,1.000000,1067958
4,2,0.841697,0.217970,0.000000,1.000000,0.057940,0.524773,0.931145,1.000000,1.000000,1058989
5,2,0.843833,0.218456,0.000000,1.000000,0.066895,0.522834,0.934476,1.000000,1.000000,1029823
6,2,0.839173,0.220099,0.000000,1.000000,0.065062,0.514908,0.929793,1.000000,1.000000,1041127
7,2,0.836616,0.223794,0.000000,1.000000,0.052962,0.507405,0.928699,1.000000,1.000000,1055162
8,2,0.838284,0.221884,0.000000,1.000000,0.053400,0.513339,0.929898,1.000000,1.000000,1061836
9,2,0.838002,0.221708,0.000000,1.000000,0.049028,0.513501,0.929231,1.000000,1.000000,1052560
10,2,0.841613,0.221382,0.000000,1.000000,0.049209,0.519300,0.933368,1.000000,1.000000,1019823
11,2,0.831464,0.228838,0.000000,1.000000,0.039080,0.491306,0.926096,1.000000,1.000000,1027963
12,2,0.841739,0.219739,0.000000,1.000000,0.055288,0.520849,0.932456,1.000000,1.000000,1006989
13,2,0.841685,0.217105,0.000000,1.000000,0.064517,0.526039,0.930980,1.000000,1.000000,1013886
14,2,0.833524,0.227972,0.000000,1.000000,0.043314,0.494811,0.928357,1.000000,1.000000,1115816
15,2,0.829092,0.232051,0.000000,1.000000,0.040290,0.476195,0.926742,1.000000,1.000000,1049693
16,2,0.835739,0.226102,0.000000,1.000000,0.052213,0.497911,0.929491,1.000000,1.000000,1067200
17,2,0.838662,0.219305,0.000000,1.000000,0.060434,0.518431,0.928493,1.000000,1.000000,974066
18,2,0.839460,0.219885,0.000000,1.000000,0.059466,0.518587,0.929733,1.000000,1.000000,929939
19,2,0.831763,0.227325,0.000000,1.000000,0.048738,0.491477,0.925932,1.000000,1.000000,1041930
20,2,0.838679,0.222073,0.000000,1.000000,0.049254,0.513460,0.930206,1.000000,1.000000,1064441
21,2,0.834354,0.226845,0.000000,1.000000,0.038685,0.499455,0.928354,1.000000,1.000000,1097667
22,2,0.843460,0.216466,0.000000,1.000000,0.074360,0.526695,0.932909,1.000000,1.000000,1015507
23,2,0.843255,0.213057,0.000000,1.000000,0.083515,0.532938,0.930001,1.000000,1.000000,1102332
24,2,0.835282,0.224616,0.000000,1.000000,0.058809,0.500571,0.928438,1.000000,1.000000,1059085
25,2,0.828998,0.232508,0.000000,1.000000,0.039042,0.478785,0.926031,1.000000,1.000000,996115
26,2,0.840258,0.220368,0.000000,1.000000,0.048382,0.519683,0.930751,1.000000,1.000000,1050865
27,2,0.835020,0.224562,0.000000,1.000000,0.052251,0.502095,0.927790,1.000000,1.000000,1013137
28,2,0.844631,0.215226,0.000000,1.000000,0.068968,0.532211,0.933133,1.000000,1.000000,1026409
29,2,0.839181,0.220050,0.000000,1.000000,0.062494,0.515714,0.929635,1.000000,1.000000,1023042
30,2,0.859934,0.199051,0.000000,1.000000,0.106088,0.582810,0.940110,1.000000,1.000000,979981
31,2,0.846030,0.214703,0.000000,1.000000,0.070909,0.539215,0.933581,1.000000,1.000000,979780
32,2,0.840924,0.219417,0.000000,1.000000,0.057711,0.521701,0.930954,1.000000,1.000000,1045370
33,2,0.831402,0.228130,0.000000,1.000000,0.057120,0.486246,0.926756,1.000000,1.000000,1056066
34,2,0.846907,0.212583,0.000000,1.000000,0.070142,0.541952,0.933567,1.000000,1.000000,1046982
35,2,0.837569,0.221278,0.000000,1.000000,0.054183,0.513277,0.928338,1.000000,1.000000,1070075
36,2,0.837576,0.226864,0.000000,1.000000,0.050671,0.500208,0.932330,1.000000,1.000000,1025777
37,2,0.841012,0.219314,0.000000,1.000000,0.053706,0.521867,0.931211,1.000000,1.000000,1034313
38,2,0.834862,0.226728,0.000000,1.000000,0.048577,0.496982,0.928891,1.000000,1.000000,987660
39,2,0.837227,0.223861,0.000000,1.000000,0.043880,0.510489,0.929623,1.000000,1.000000,983210
40,2,0.835165,0.226056,0.000000,1.000000,0.043302,0.501259,0.928691,1.000000,1.000000,1033761
41,2,0.836666,0.219110,0.000000,1.000000,0.069597,0.513147,0.926095,1.000000,1.000000,1003260
42,2,0.852328,0.209571,0.000000,1.000000,0.082394,0.553043,0.938159,1.000000,1.000000,1013987
43,2,0.846969,0.214190,0.000000,1.000000,0.063849,0.542926,0.934156,1.000000,1.000000,1022136
44,2,0.839082,0.221588,0.000000,1.000000,0.058351,0.513958,0.930741,1.000000,1.000000,1009152
45,2,0.846244,0.210725,0.000000,1.000000,0.078180,0.544768,0.931400,1.000000,1.000000,1029000
46,2,0.838153,0.225694,0.000000,1.000000,0.035353,0.508108,0.931784,1.000000,1.000000,976001
47,2,0.834455,0.227200,0.000000,1.000000,0.040612,0.496982,0.928940,1.000000,1.000000,1017846
48,2,0.845271,0.213304,0.000000,1.000000,0.071268,0.539172,0.931778,1.000000,1.000000,1019199
49,2,0.829709,0.229213,0.000000,1.000000,0.043001,0.487495,0.924379,1.000000,1.000000,1050473
