method,seed,image_id,keypoint_id,coarse_x,coarse_y,final_x,final_y,num_votes,num_reliable,mean_vote_distance,median_vote_distance,fallback
baseline,1,0,0,337.1818,189.9109,337.1818,189.9109,0,0,-1.0000,-1.0000,
baseline,1,0,1,395.6716,131.2541,395.6716,131.2541,0,0,-1.0000,-1.0000,
baseline,1,0,2,384.2538,185.5721,384.2538,185.5721,0,0,-1.0000,-1.0000,
baseline,1,0,3,331.1285,152.6083,331.1285,152.6083,0,0,-1.0000,-1.0000,
baseline,1,0,4,368.4859,132.3509,368.4859,132.3509,0,0,-1.0000,-1.0000,
baseline,1,0,5,347.1187,169.2598,347.1187,169.2598,0,0,-1.0000,-1.0000,
baseline,1,0,6,376.4137,164.8712,376.4137,164.8712,0,0,-1.0000,-1.0000,
baseline,1,0,7,387.3602,152.1518,387.3602,152.1518,0,0,-1.0000,-1.0000,
baseline,1,0,8,364.0174,155.1780,364.0174,155.1780,0,0,-1.0000,-1.0000,
A4,1,0,0,337.1818,189.9109,337.1818,189.9109,101,101,0.6698,0.4703,
A4,1,0,1,395.6716,131.2541,395.6716,131.2541,101,101,0.6688,0.6037,
A4,1,0,2,384.2538,185.5721,384.2538,185.5721,101,101,0.5452,0.4185,
A4,1,0,3,331.1285,152.6083,331.1285,152.6083,101,101,0.5416,0.4796,
A4,1,0,4,368.4859,132.3509,368.4859,132.3509,101,101,0.6022,0.5481,
A4,1,0,5,347.1187,169.2598,347.1187,169.2598,101,101,0.3162,0.2682,
A4,1,0,6,376.4137,164.8712,376.4137,164.8712,101,101,0.3787,0.3429,
A4,1,0,7,387.3602,152.1518,387.3602,152.1518,101,101,0.4937,0.4158,
A4,1,0,8,364.0174,155.1780,364.0174,155.1780,101,101,0.3434,0.2422,
A6,1,0,0,337.1818,189.9109,337.1818,189.9109,101,101,0.6698,0.4703,
A6,1,0,1,395.6716,131.2541,395.6716,131.2541,101,101,0.6688,0.6037,
A6,1,0,2,384.2538,185.5721,384.2538,185.5721,101,101,0.5452,0.4185,
A6,1,0,3,331.1285,152.6083,331.1285,152.6083,101,101,0.5416,0.4796,
A6,1,0,4,368.4859,132.3509,368.4859,132.3509,101,101,0.6022,0.5481,
A6,1,0,5,347.1187,169.2598,347.1187,169.2598,101,101,0.3162,0.2682,
A6,1,0,6,376.4137,164.8712,376.4137,164.8712,101,101,0.3787,0.3429,
