method,seed,image_id,keypoint_id,coarse_x,coarse_y,final_x,final_y,num_votes,num_reliable,mean_vote_distance,median_vote_distance,fallback
U1,0,0,0,337.1516,190.0091,337.1516,190.0091,107,107,0.6226,0.3614,
U1,0,0,1,395.6528,131.2611,395.6528,131.2611,107,107,0.5739,0.4603,
U1,0,0,2,384.0256,185.3442,384.0256,185.3442,107,107,0.6048,0.4852,
U1,0,0,3,331.3499,152.8195,331.3499,152.8195,107,107,0.5234,0.4535,
U1,0,0,4,368.4085,132.5119,368.4085,132.5119,107,107,0.5420,0.4503,
U1,0,0,5,347.2489,169.2548,347.2489,169.2548,107,107,0.3299,0.2677,
U1,0,0,6,376.2868,164.5914,376.2868,164.5914,107,107,0.3547,0.2760,
U1,0,0,7,387.1628,152.3166,387.1628,152.3166,107,107,0.3901,0.3078,
U1,0,0,8,364.0045,155.2258,364.0045,155.2258,107,107,0.2767,0.2220,
baseline,0,0,0,337.1516,190.0091,337.1516,190.0091,0,0,-1.0000,-1.0000,
baseline,0,0,1,395.6528,131.2611,395.6528,131.2611,0,0,-1.0000,-1.0000,
baseline,0,0,2,384.0256,185.3442,384.0256,185.3442,0,0,-1.0000,-1.0000,
baseline,0,0,3,331.3499,152.8195,331.3499,152.8195,0,0,-1.0000,-1.0000,
baseline,0,0,4,368.4085,132.5119,368.4085,132.5119,0,0,-1.0000,-1.0000,
baseline,0,0,5,347.2489,169.2548,347.2489,169.2548,0,0,-1.0000,-1.0000,
baseline,0,0,6,376.2868,164.5914,376.2868,164.5914,0,0,-1.0000,-1.0000,
baseline,0,0,7,387.1628,152.3166,387.1628,152.3166,0,0,-1.0000,-1.0000,
baseline,0,0,8,364.0045,155.2258,364.0045,155.2258,0,0,-1.0000,-1.0000,
A4,0,0,0,337.1516,190.0091,337.1516,190.0091,107,107,0.6226,0.3614,
A4,0,0,1,395.6528,131.2611,395.6528,131.2611,107,107,0.5739,0.4603,
A4,0,0,2,384.0256,185.3442,384.0256,185.3442,107,107,0.6048,0.4852,
A4,0,0,3,331.3499,152.8195,331.3499,152.8195,107,107,0.5234,0.4535,
A4,0,0,4,368.4085,132.5119,368.4085,132.5119,107,107,0.5420,0.4503,
A4,0,0,5,347.2489,169.2548,347.2489,169.2548,107,107,0.3299,0.2677,
A4,0,0,6,376.2868,164.5914,376.2868,164.5914,107,107,0.3547,0.2760,
A4,0,0,7,387.1628,152.3166,387.1628,152.3166,107,107,0.3901,0.3078,
A4,0,0,8,364.0045,155.2258,364.0045,155.2258,107,107,0.2767,0.2220,
A6,0,0,0,337.1516,190.0091,337.1516,190.0091,107,107,0.6226,0.3614,
A6,0,0,1,395.6528,131.2611,395.6528,131.2611,107,107,0.5739,0.4603,
A6,0,0,2,384.0256,185.3442,384.0256,185.3442,107,107,0.6048,0.4852,
A6,0,0,3,331.3499,152.8195,331.3499,152.8195,107,107,0.5234,0.4535,
A6,0,0,4,368.4085,132.5119,368.4085,132.5119,107,107,0.5420,0.4503,
A6,0,0,5,347.2489,169.2548,347.2489,169.2548,107,107,0.3299,0.2677,
A6,0,0,6,376.2868,164.5914,376.2868,164.5914,107,107,0.3547,0.2760,
A6,0,0,7,387.1628,152.3166,387.1628,152.3166,107,107,0.3901,0.3078,
A6,0,0,8,364.0045,155.2258,364.0045,155.2258,107,107,0.2767,0.2220,
B4,0,0,0,337.1516,190.0091,337.1472,190.0194,107,107,0.6226,0.3614,
B4,0,0,1,395.6528,131.2611,395.6491,131.2670,107,107,0.5739,0.4603,
B4,0,0,2,384.0256,185.3442,384.0434,185.3359,107,107,0.6048,0.4852,
B4,0,0,3,331.3499,152.8195,331.3613,152.8326,107,107,0.5234,0.4535,
B4,0,0,4,368.4085,132.5119,368.4099,132.5148,107,107,0.5420,0.4503,
B4,0,0,5,347.2489,169.2548,347.2480,169.2553,107,107,0.3299,0.2677,
B4,0,0,6,376.2868,164.5914,376.2868,164.5932,107,107,0.3547,0.2760,
B4,0,0,7,387.1628,152.3166,387.1642,152.3218,107,107,0.3901,0.3078,
B4,0,0,8,364.0045,155.2258,364.0053,155.2259,107,107,0.2767,0.2220,
U1,0,1,0,342.9170,190.1219,342.9170,190.1219,115,115,0.5586,0.4047,
U1,0,1,1,403.0931,128.5145,403.0931,128.5145,115,115,0.5452,0.3974,
U1,0,1,2,391.6328,184.6279,391.6328,184.6279,115,115,0.5981,0.4775,
U1,0,1,3,335.7792,151.2829,335.7792,151.2829,115,115,0.5667,0.4136,
U1,0,1,4,374.8774,130.1563,374.8774,130.1563,115,115,0.5578,0.4109,
U1,0,1,5,353.4405,168.3616,353.4405,168.3616,115,115,0.3335,0.2149,
U1,0,1,6,383.8028,163.4882,383.8028,163.4882,115,115,0.4007,0.3272,
U1,0,1,7,394.6989,150.6120,394.6989,150.6120,115,115,0.3905,0.3189,
U1,0,1,8,370.6447,153.7104,370.6447,153.7104,115,115,0.2647,0.1793,
baseline,0,1,0,342.9170,190.1219,342.9170,190.1219,0,0,-1.0000,-1.0000,
baseline,0,1,1,403.0931,128.5145,403.0931,128.5145,0,0,-1.0000,-1.0000,
baseline,0,1,2,391.6328,184.6279,391.6328,184.6279,0,0,-1.0000,-1.0000,
baseline,0,1,3,335.7792,151.2829,335.7792,151.2829,0,0,-1.0000,-1.0000,
baseline,0,1,4,374.8774,130.1563,374.8774,130.1563,0,0,-1.0000,-1.0000,
baseline,0,1,5,353.4405,168.3616,353.4405,168.3616,0,0,-1.0000,-1.0000,
baseline,0,1,6,383.8028,163.4882,383.8028,163.4882,0,0,-1.0000,-1.0000,
baseline,0,1,7,394.6989,150.6120,394.6989,150.6120,0,0,-1.0000,-1.0000,
baseline,0,1,8,370.6447,153.7104,370.6447,153.7104,0,0,-1.0000,-1.0000,
A4,0,1,0,342.9170,190.1219,342.9170,190.1219,115,115,0.5586,0.4047,
A4,0,1,1,403.0931,128.5145,403.0931,128.5145,115,115,0.5452,0.3974,
A4,0,1,2,391.6328,184.6279,391.6328,184.6279,115,115,0.5981,0.4775,
A4,0,1,3,335.7792,151.2829,335.7792,151.2829,115,115,0.5667,0.4136,
A4,0,1,4,374.8774,130.1563,374.8774,130.1563,115,115,0.5578,0.4109,
A4,0,1,5,353.4405,168.3616,353.4405,168.3616,115,115,0.3335,0.2149,
A4,0,1,6,383.8028,163.4882,383.8028,163.4882,115,115,0.4007,0.3272,
A4,0,1,7,394.6989,150.6120,394.6989,150.6120,115,115,0.3905,0.3189,
A4,0,1,8,370.6447,153.7104,370.6447,153.7104,115,115,0.2647,0.1793,
A6,0,1,0,342.9170,190.1219,342.9170,190.1219,115,115,0.5586,0.4047,
A6,0,1,1,403.0931,128.5145,403.0931,128.5145,115,115,0.5452,0.3974,
A6,0,1,2,391.6328,184.6279,391.6328,184.6279,115,115,0.5981,0.4775,
A6,0,1,3,335.7792,151.2829,335.7792,151.2829,115,115,0.5667,0.4136,
A6,0,1,4,374.8774,130.1563,374.8774,130.1563,115,115,0.5578,0.4109,
A6,0,1,5,353.4405,168.3616,353.4405,168.3616,115,115,0.3335,0.2149,
A6,0,1,6,383.8028,163.4882,383.8028,163.4882,115,115,0.4007,0.3272,
A6,0,1,7,394.6989,150.6120,394.6989,150.6120,115,115,0.3905,0.3189,
A6,0,1,8,370.6447,153.7104,370.6447,153.7104,115,115,0.2647,0.1793,
B4,0,1,0,342.9170,190.1219,342.9185,190.1231,115,115,0.5586,0.4047,
B4,0,1,1,403.0931,128.5145,403.0984,128.5149,115,115,0.5452,0.3974,
B4,0,1,2,391.6328,184.6279,391.6447,184.6260,115,115,0.5981,0.4775,
B4,0,1,3,335.7792,151.2829,335.7787,151.2875,115,115,0.5667,0.4136,
B4,0,1,4,374.8774,130.1563,374.8763,130.1593,115,115,0.5578,0.4109,
B4,0,1,5,353.4405,168.3616,353.4374,168.3611,115,115,0.3335,0.2149,
B4,0,1,6,383.8028,163.4882,383.8064,163.4893,115,115,0.4007,0.3272,
B4,0,1,7,394.6989,150.6120,394.6967,150.6100,115,115,0.3905,0.3189,
B4,0,1,8,370.6447,153.7104,370.6490,153.7094,115,115,0.2647,0.1793,
U1,0,2,0,322.0490,196.1782,322.0490,196.1782,125,125,0.5936,0.4078,
U1,0,2,1,391.7158,147.1245,391.7158,147.1245,125,125,0.5430,0.4571,
U1,0,2,2,370.6414,198.7043,370.6414,198.7043,125,125,0.4187,0.3208,
U1,0,2,3,321.5578,160.9299,321.5578,160.9299,125,125,0.4715,0.3857,
U1,0,2,4,365.0096,150.0125,365.0096,150.0125,125,125,0.6179,0.5644,
U1,0,2,5,334.2905,172.5177,334.2905,172.5177,125,125,0.4665,0.3815,
U1,0,2,6,365.2294,172.5805,365.2294,172.5805,125,125,0.4199,0.3381,
U1,0,2,7,380.4645,170.7414,380.4645,170.7414,125,125,0.5189,0.3229,
U1,0,2,8,355.4214,166.9126,355.4214,166.9126,125,125,0.3205,0.2199,
baseline,0,2,0,322.0490,196.1782,322.0490,196.1782,0,0,-1.0000,-1.0000,
baseline,0,2,1,391.7158,147.1245,391.7158,147.1245,0,0,-1.0000,-1.0000,
baseline,0,2,2,370.6414,198.7043,370.6414,198.7043,0,0,-1.0000,-1.0000,
baseline,0,2,3,321.5578,160.9299,321.5578,160.9299,0,0,-1.0000,-1.0000,
baseline,0,2,4,365.0096,150.0125,365.0096,150.0125,0,0,-1.0000,-1.0000,
baseline,0,2,5,334.2905,172.5177,334.2905,172.5177,0,0,-1.0000,-1.0000,
baseline,0,2,6,365.2294,172.5805,365.2294,172.5805,0,0,-1.0000,-1.0000,
baseline,0,2,7,380.4645,170.7414,380.4645,170.7414,0,0,-1.0000,-1.0000,
baseline,0,2,8,355.4214,166.9126,355.4214,166.9126,0,0,-1.0000,-1.0000,
A4,0,2,0,322.0490,196.1782,322.0490,196.1782,125,125,0.5936,0.4078,
A4,0,2,1,391.7158,147.1245,391.7158,147.1245,125,125,0.5430,0.4571,
A4,0,2,2,370.6414,198.7043,370.6414,198.7043,125,125,0.4187,0.3208,
A4,0,2,3,321.5578,160.9299,321.5578,160.9299,125,125,0.4715,0.3857,
A4,0,2,4,365.0096,150.0125,365.0096,150.0125,125,125,0.6179,0.5644,
A4,0,2,5,334.2905,172.5177,334.2905,172.5177,125,125,0.4665,0.3815,
A4,0,2,6,365.2294,172.5805,365.2294,172.5805,125,125,0.4199,0.3381,
A4,0,2,7,380.4645,170.7414,380.4645,170.7414,125,125,0.5189,0.3229,
A4,0,2,8,355.4214,166.9126,355.4214,166.9126,125,125,0.3205,0.2199,
A6,0,2,0,322.0490,196.1782,322.0490,196.1782,125,125,0.5936,0.4078,
A6,0,2,1,391.7158,147.1245,391.7158,147.1245,125,125,0.5430,0.4571,
