method,seed,image_id,keypoint_id,coarse_x,coarse_y,final_x,final_y,num_votes,num_reliable,mean_vote_distance,median_vote_distance,fallback
baseline,1,0,0,431.6138,126.8245,431.6138,126.8245,0,0,-1.0000,-1.0000,
baseline,1,0,1,370.3612,104.8167,370.3612,104.8167,0,0,-1.0000,-1.0000,
baseline,1,0,2,393.5190,118.9193,393.5190,118.9193,0,0,-1.0000,-1.0000,
baseline,1,0,3,427.5909,108.5922,427.5909,108.5922,0,0,-1.0000,-1.0000,
baseline,1,0,4,395.4913,86.7931,395.4913,86.7931,0,0,-1.0000,-1.0000,
baseline,1,0,5,413.4315,141.8213,413.4315,141.8213,0,0,-1.0000,-1.0000,
baseline,1,0,6,388.7051,136.1285,388.7051,136.1285,0,0,-1.0000,-1.0000,
baseline,1,0,7,385.0712,95.2369,385.0712,95.2369,0,0,-1.0000,-1.0000,
baseline,1,0,8,400.4757,111.6126,400.4757,111.6126,0,0,-1.0000,-1.0000,
A4,1,0,0,431.6138,126.8245,431.6138,126.8245,85,85,1.0518,0.9077,
A4,1,0,1,370.3612,104.8167,370.3612,104.8167,85,85,0.5757,0.5325,
A4,1,0,2,393.5190,118.9193,393.5190,118.9193,85,85,0.6590,0.6316,
A4,1,0,3,427.5909,108.5922,427.5909,108.5922,85,85,0.4969,0.3412,
A4,1,0,4,395.4913,86.7931,395.4913,86.7931,85,85,0.4945,0.3814,
A4,1,0,5,413.4315,141.8213,413.4315,141.8213,85,85,0.4244,0.3461,
A4,1,0,6,388.7051,136.1285,388.7051,136.1285,85,85,0.4770,0.3637,
A4,1,0,7,385.0712,95.2369,385.0712,95.2369,85,85,0.5274,0.3710,
A4,1,0,8,400.4757,111.6126,400.4757,111.6126,85,85,0.2981,0.2266,
A6,1,0,0,431.6138,126.8245,431.6138,126.8245,85,85,1.0518,0.9077,
A6,1,0,1,370.3612,104.8167,370.3612,104.8167,85,85,0.5757,0.5325,
A6,1,0,2,393.5190,118.9193,393.5190,118.9193,85,85,0.6590,0.6316,
A6,1,0,3,427.5909,108.5922,427.5909,108.5922,85,85,0.4969,0.3412,
A6,1,0,4,395.4913,86.7931,395.4913,86.7931,85,85,0.4945,0.3814,
A6,1,0,5,413.4315,141.8213,413.4315,141.8213,85,85,0.4244,0.3461,
A6,1,0,6,388.7051,136.1285,388.7051,136.1285,85,85,0.4770,0.3637,
A6,1,0,7,385.0712,95.2369,385.0712,95.2369,85,85,0.5274,0.3710,
A6,1,0,8,400.4757,111.6126,400.4757,111.6126,85,85,0.2981,0.2266,
B4,1,0,0,431.6138,126.8245,431.5440,126.9080,85,85,1.0518,0.9077,
B4,1,0,1,370.3612,104.8167,370.3867,104.8120,85,85,0.5757,0.5325,
B4,1,0,2,393.5190,118.9193,393.5241,118.9232,85,85,0.6590,0.6316,
B4,1,0,3,427.5909,108.5922,427.5794,108.5879,85,85,0.4969,0.3412,
B4,1,0,4,395.4913,86.7931,395.4918,86.7747,85,85,0.4945,0.3814,
B4,1,0,5,413.4315,141.8213,413.4314,141.8213,85,85,0.4244,0.3461,
B4,1,0,6,388.7051,136.1285,388.7079,136.1250,85,85,0.4770,0.3637,
B4,1,0,7,385.0712,95.2369,385.0494,95.2390,85,85,0.5274,0.3710,
B4,1,0,8,400.4757,111.6126,400.4775,111.6117,85,85,0.2981,0.2266,
baseline,1,1,0,404.2010,145.9216,404.2010,145.9216,0,0,-1.0000,-1.0000,
baseline,1,1,1,345.0430,121.8202,345.0430,121.8202,0,0,-1.0000,-1.0000,
baseline,1,1,2,368.9626,140.3726,368.9626,140.3726,0,0,-1.0000,-1.0000,
baseline,1,1,3,400.2586,125.0673,400.2586,125.0673,0,0,-1.0000,-1.0000,
baseline,1,1,4,369.3275,104.1804,369.3275,104.1804,0,0,-1.0000,-1.0000,
baseline,1,1,5,387.0010,158.7776,387.0010,158.7776,0,0,-1.0000,-1.0000,
baseline,1,1,6,363.4726,154.3043,363.4726,154.3043,0,0,-1.0000,-1.0000,
