method,seed,image_id,keypoint_id,coarse_x,coarse_y,final_x,final_y,num_votes,num_reliable,mean_vote_distance,median_vote_distance,fallback
baseline,0,0,0,431.1888,126.6231,431.1888,126.6231,0,0,-1.0000,-1.0000,
baseline,0,0,1,370.3645,104.6397,370.3645,104.6397,0,0,-1.0000,-1.0000,
baseline,0,0,2,393.6090,118.6506,393.6090,118.6506,0,0,-1.0000,-1.0000,
baseline,0,0,3,427.4329,108.4969,427.4329,108.4969,0,0,-1.0000,-1.0000,
baseline,0,0,4,395.4203,86.7116,395.4203,86.7116,0,0,-1.0000,-1.0000,
baseline,0,0,5,413.5291,142.0278,413.5291,142.0278,0,0,-1.0000,-1.0000,
baseline,0,0,6,388.7611,136.2181,388.7611,136.2181,0,0,-1.0000,-1.0000,
baseline,0,0,7,385.3372,95.3507,385.3372,95.3507,0,0,-1.0000,-1.0000,
baseline,0,0,8,400.5908,111.8003,400.5908,111.8003,0,0,-1.0000,-1.0000,
A4,0,0,0,431.1888,126.6231,431.1856,126.6703,105,104,0.8953,0.7163,
A4,0,0,1,370.3645,104.6397,370.3645,104.6397,105,105,0.5901,0.5305,
A4,0,0,2,393.6090,118.6506,393.6090,118.6506,105,105,0.6315,0.4857,
A4,0,0,3,427.4329,108.4969,427.4329,108.4969,105,105,0.4595,0.2856,
A4,0,0,4,395.4203,86.7116,395.4203,86.7116,105,105,0.4876,0.3748,
A4,0,0,5,413.5291,142.0278,413.5291,142.0278,105,105,0.4297,0.3685,
A4,0,0,6,388.7611,136.2181,388.7611,136.2181,105,105,0.6213,0.4676,
A4,0,0,7,385.3372,95.3507,385.3372,95.3507,105,105,0.4662,0.3021,
A4,0,0,8,400.5908,111.8003,400.5908,111.8003,105,105,0.2801,0.2435,
A6,0,0,0,431.1888,126.6231,431.1888,126.6231,105,105,0.8953,0.7163,
A6,0,0,1,370.3645,104.6397,370.3645,104.6397,105,105,0.5901,0.5305,
A6,0,0,2,393.6090,118.6506,393.6090,118.6506,105,105,0.6315,0.4857,
A6,0,0,3,427.4329,108.4969,427.4329,108.4969,105,105,0.4595,0.2856,
A6,0,0,4,395.4203,86.7116,395.4203,86.7116,105,105,0.4876,0.3748,
A6,0,0,5,413.5291,142.0278,413.5291,142.0278,105,105,0.4297,0.3685,
A6,0,0,6,388.7611,136.2181,388.7611,136.2181,105,105,0.6213,0.4676,
A6,0,0,7,385.3372,95.3507,385.3372,95.3507,105,105,0.4662,0.3021,
A6,0,0,8,400.5908,111.8003,400.5908,111.8003,105,105,0.2801,0.2435,
B4,0,0,0,431.1888,126.6231,431.1576,126.7053,105,105,0.8953,0.7163,
B4,0,0,1,370.3645,104.6397,370.3948,104.6365,105,105,0.5901,0.5305,
B4,0,0,2,393.6090,118.6506,393.6113,118.6437,105,105,0.6315,0.4857,
B4,0,0,3,427.4329,108.4969,427.4142,108.4935,105,105,0.4595,0.2856,
B4,0,0,4,395.4203,86.7116,395.4170,86.7106,105,105,0.4876,0.3748,
B4,0,0,5,413.5291,142.0278,413.5292,142.0311,105,105,0.4297,0.3685,
B4,0,0,6,388.7611,136.2181,388.7530,136.2124,105,105,0.6213,0.4676,
B4,0,0,7,385.3372,95.3507,385.3304,95.3462,105,105,0.4662,0.3021,
B4,0,0,8,400.5908,111.8003,400.5916,111.8001,105,105,0.2801,0.2435,
baseline,0,1,0,403.9626,145.9633,403.9626,145.9633,0,0,-1.0000,-1.0000,
baseline,0,1,1,344.8037,121.7484,344.8037,121.7484,0,0,-1.0000,-1.0000,
baseline,0,1,2,369.0951,140.3059,369.0951,140.3059,0,0,-1.0000,-1.0000,
baseline,0,1,3,400.2054,125.0262,400.2054,125.0262,0,0,-1.0000,-1.0000,
baseline,0,1,4,369.3352,104.2748,369.3352,104.2748,0,0,-1.0000,-1.0000,
baseline,0,1,5,387.0230,158.6620,387.0230,158.6620,0,0,-1.0000,-1.0000,
baseline,0,1,6,363.3771,154.3160,363.3771,154.3160,0,0,-1.0000,-1.0000,
baseline,0,1,7,360.9481,114.9050,360.9481,114.9050,0,0,-1.0000,-1.0000,
baseline,0,1,8,374.9403,129.4588,374.9403,129.4588,0,0,-1.0000,-1.0000,
A4,0,1,0,403.9626,145.9633,403.9626,145.9633,99,99,0.5243,0.3396,
A4,0,1,1,344.8037,121.7484,344.8037,121.7484,99,99,0.6629,0.5012,
A4,0,1,2,369.0951,140.3059,369.0951,140.3059,99,99,0.4020,0.3362,
