signal,split,band,mean_e,mean_signal
seg_conf,linemod,top10,0.0840,0.9697
seg_conf,linemod,top30,0.2554,0.9703
seg_conf,linemod,top50,0.4380,0.9703
seg_conf,linemod,bot50,2.0013,0.9621
seg_conf,linemod,bot30,1.6328,0.9644
seg_conf,linemod,bot10,1.3458,0.9658
boundary,linemod,top10,0.0840,6.1734
boundary,linemod,top30,0.2554,6.1799
boundary,linemod,top50,0.4380,6.1614
boundary,linemod,bot50,2.0013,5.6975
boundary,linemod,bot30,1.6328,5.8221
boundary,linemod,bot10,1.3458,5.9023
localcons,linemod,top10,0.0840,0.9540
localcons,linemod,top30,0.2554,0.9559
localcons,linemod,top50,0.4380,0.9599
localcons,linemod,bot50,2.0013,0.8713
localcons,linemod,bot30,1.6328,0.8983
localcons,linemod,bot10,1.3458,0.9113
mag,linemod,top10,0.0840,0.9977
mag,linemod,top30,0.2554,0.9978
mag,linemod,top50,0.4380,0.9978
mag,linemod,bot50,2.0013,0.9974
mag,linemod,bot30,1.6328,0.9975
mag,linemod,bot10,1.3458,0.9976
segbnd,linemod,top10,0.0840,0.5298
segbnd,linemod,top30,0.2554,0.5305
segbnd,linemod,top50,0.4380,0.5297
segbnd,linemod,bot50,2.0013,0.4998
segbnd,linemod,bot30,1.6328,0.5080
segbnd,linemod,bot10,1.3458,0.5131
seg_conf,occ,top10,0.1134,0.9667
seg_conf,occ,top30,0.3520,0.9670
seg_conf,occ,top50,0.6113,0.9666
seg_conf,occ,bot50,3.7925,0.9602
seg_conf,occ,bot30,2.9947,0.9619
seg_conf,occ,bot10,2.4339,0.9631
boundary,occ,top10,0.1134,5.2167
boundary,occ,top30,0.3520,5.2447
boundary,occ,top50,0.6113,5.2370
boundary,occ,bot50,3.7925,5.0995
boundary,occ,bot30,2.9947,5.1355
boundary,occ,bot10,2.4339,5.1629
localcons,occ,top10,0.1134,1.3633
localcons,occ,top30,0.3520,1.3782
localcons,occ,top50,0.6113,1.3832
localcons,occ,bot50,3.7925,1.3591
localcons,occ,bot30,2.9947,1.3682
localcons,occ,bot10,2.4339,1.3721
mag,occ,top10,0.1134,0.9972
mag,occ,top30,0.3520,0.9969
mag,occ,top50,0.6113,0.9964
mag,occ,bot50,3.7925,0.9948
mag,occ,bot30,2.9947,0.9950
mag,occ,bot10,2.4339,0.9954
segbnd,occ,top10,0.1134,0.5310
segbnd,occ,top30,0.3520,0.5330
segbnd,occ,top50,0.6113,0.5318
segbnd,occ,bot50,3.7925,0.5104
segbnd,occ,bot30,2.9947,0.5160
segbnd,occ,bot10,2.4339,0.5200
