img,n_occ_visible,n_lin_full,n_lin_sub,kp_err_lin_full_mean_px,kp_err_lin_sub_mean_px,kp_err_lin_sub_std_px,kp_err_occ_mean_px,kp_err_lin_sub_per_rep_px
0,1190,2324,1190,3.27,3.27,0.83,1.66,3.27;3.27;3.26
1,1457,2500,1457,0.96,0.96,0.47,2.55,0.96;0.96;0.96
2,1535,2351,1535,1.59,1.58,0.71,0.92,1.59;1.58;1.58
3,1646,2500,1646,0.84,0.84,0.44,2.17,0.85;0.83;0.83
4,1700,2414,1700,1.00,1.00,0.42,1.66,1.00;1.00;1.00
5,1911,2065,1911,0.63,0.63,0.29,2.54,0.63;0.63;0.63
6,1734,2211,1734,1.12,1.13,0.53,2.74,1.13;1.12;1.13
7,1636,2130,1636,1.37,1.37,0.64,2.33,1.38;1.37;1.37
8,1643,2309,1643,0.98,0.98,0.44,3.20,0.97;0.99;0.98
9,1754,2392,1754,1.29,1.29,0.47,3.31,1.29;1.28;1.29
10,1723,2831,1723,1.00,1.00,0.59,3.30,1.00;1.00;1.00
11,1644,2332,1644,4.50,4.51,0.84,2.05,4.52;4.52;4.50
12,1586,2757,1586,1.95,1.94,0.40,1.84,1.95;1.93;1.94
13,1602,2368,1602,3.79,3.79,0.76,1.98,3.79;3.78;3.80
14,1555,2438,1555,2.07,2.07,0.45,1.46,2.06;2.08;2.07
15,1287,2527,1287,1.96,1.96,0.66,2.04,1.96;1.94;1.97
16,902,2950,902,1.16,1.17,0.33,3.23,1.17;1.17;1.16
17,759,2698,759,1.11,1.12,0.49,3.22,1.13;1.11;1.13
18,288,2512,288,0.77,0.78,0.29,10.14,0.80;0.75;0.78
19,269,2434,269,0.81,0.82,0.41,5.74,0.80;0.83;0.82
