split,img_id,rgb,visible_fg_px,occluded_px,amodal_fg_px,interior_px,normal_boundary_px,occlusion_boundary_px
linemod,0,000001.jpg,2324,0,2324,846,1478,0
linemod,1,000002.jpg,2500,0,2500,962,1538,0
linemod,2,000004.jpg,2351,0,2351,888,1463,0
linemod,3,000005.jpg,2500,0,2500,959,1541,0
linemod,4,000007.jpg,2414,0,2414,911,1503,0
linemod,5,000011.jpg,2065,0,2065,821,1244,0
linemod,6,000016.jpg,2211,0,2211,978,1233,0
linemod,7,000021.jpg,2130,0,2130,719,1411,0
linemod,8,000025.jpg,2309,0,2308,802,1507,0
linemod,9,000027.jpg,2392,1,2393,855,1495,42
linemod,10,000030.jpg,2831,1,2832,1150,1637,44
linemod,11,000032.jpg,2332,0,2332,804,1528,0
linemod,12,000035.jpg,2757,0,2756,1068,1689,0
linemod,13,000037.jpg,2368,0,2368,860,1508,0
linemod,14,000040.jpg,2438,0,2438,898,1540,0
linemod,15,000042.jpg,2527,0,2526,949,1578,0
linemod,16,000044.jpg,2950,0,2950,1217,1733,0
linemod,17,000048.jpg,2698,1,2699,1051,1609,38
linemod,18,000050.jpg,2512,0,2512,947,1565,0
linemod,19,000051.jpg,2434,0,2434,902,1532,0
occ,0,color_00000.png,1190,362,1552,177,748,265
occ,1,color_00001.png,1457,83,1540,395,1008,54
occ,2,color_00002.png,1535,13,1548,419,1069,47
occ,3,color_00003.png,1646,0,1646,492,1154,0
occ,4,color_00004.png,1700,0,1700,550,1150,0
occ,5,color_00005.png,1911,0,1911,681,1230,0
occ,6,color_00006.png,1734,0,1734,575,1159,0
occ,7,color_00007.png,1636,0,1636,529,1107,0
occ,8,color_00008.png,1643,0,1643,558,1085,0
occ,9,color_00009.png,1754,0,1754,630,1124,0
occ,10,color_00010.png,1723,0,1723,609,1114,0
occ,11,color_00011.png,1644,0,1644,490,1154,0
occ,12,color_00012.png,1586,0,1586,413,1173,0
occ,13,color_00013.png,1602,0,1602,417,1185,0
occ,14,color_00014.png,1555,47,1602,415,1093,47
occ,15,color_00015.png,1287,323,1610,249,851,187
occ,16,color_00016.png,902,630,1532,70,628,204
occ,17,color_00017.png,759,703,1462,35,473,251
occ,18,color_00022.png,288,1196,1484,0,112,176
occ,19,color_00023.png,269,1168,1437,1,116,152
linemod,MEAN,visible_fg_px,2452.2,,median=2424.0
linemod,MEAN,occluded_px,0.1,,median=0.0
linemod,MEAN,amodal_fg_px,2452.2,,median=2424.0
occ,MEAN,visible_fg_px,1391.0,,median=1594.0
occ,MEAN,occluded_px,226.2,,median=0.0
occ,MEAN,amodal_fg_px,1617.3,,median=1606.0
