img,add_s_all_visible,add_s_pass_all_visible,add_s_no_occlusion_boundary,add_s_pass_no_occlusion_boundary
0,0.0326,False,0.0302,False
1,0.0073,True,0.0074,True
2,0.0046,True,0.0056,True
3,0.0064,True,0.0064,True
4,0.0121,True,0.0121,True
5,0.0091,True,0.0091,True
6,0.0083,True,0.0083,True
7,0.0043,True,0.0043,True
8,0.0129,True,0.0129,True
9,0.0044,True,0.0044,True
10,0.0072,True,0.0072,True
11,0.0142,True,0.0142,True
12,0.0178,False,0.0178,False
13,0.0125,True,0.0125,True
14,0.0091,True,0.0097,True
15,0.0165,False,0.0176,False
16,0.0319,False,0.0334,False
17,0.0210,False,0.0233,False
18,2.6537,False,2.6783,False
19,2.6531,False,2.6539,False
