split,kp,count,dir_mean_deg,dir_p90_deg,dir_bad_rate,mag_unit_dev_mean,mag_abs_raw_mean,endp_unit_mean,endp_unit_p90,endp_raw_mean
linemod,kp0,49005,2.208,4.739,0.0231,0.0157,42.71,0.045,0.087,42.71
linemod,kp1,49018,2.319,4.849,0.0273,0.0141,44.51,0.046,0.087,44.52
linemod,kp2,49028,2.117,4.189,0.0170,0.0160,37.00,0.043,0.078,37.01
linemod,kp3,48989,2.175,4.349,0.0164,0.0148,39.50,0.043,0.079,39.50
linemod,kp4,48975,2.758,5.528,0.0303,0.0186,33.19,0.054,0.101,33.20
linemod,kp5,48981,4.329,9.314,0.0892,0.0248,27.27,0.082,0.170,27.28
linemod,kp6,48976,4.294,8.241,0.0738,0.0236,25.15,0.080,0.152,25.16
linemod,kp7,48988,3.026,5.968,0.0399,0.0222,29.34,0.060,0.112,29.34
linemod,kp8,48980,3.495,8.086,0.0670,0.0193,21.01,0.067,0.147,21.02
occ,kp0,27792,4.126,9.112,0.0861,0.0213,33.97,0.077,0.164,33.98
occ,kp1,27783,2.957,6.254,0.0299,0.0139,35.08,0.056,0.111,35.08
occ,kp2,27773,11.279,21.840,0.3938,0.0344,18.44,0.196,0.391,18.48
occ,kp3,27777,7.760,13.536,0.1833,0.0205,28.41,0.134,0.237,28.43
occ,kp4,27769,4.450,9.558,0.0913,0.0148,28.05,0.079,0.168,28.06
occ,kp5,27795,2.361,4.129,0.0277,0.0160,31.30,0.047,0.076,31.30
occ,kp6,27807,3.091,6.438,0.0400,0.0137,26.55,0.058,0.115,26.55
occ,kp7,27768,6.514,11.725,0.1289,0.0248,27.90,0.114,0.213,27.92
occ,kp8,27769,3.560,8.099,0.0609,0.0236,17.22,0.070,0.149,17.23
