tag,split,kp,count,dir_mean_deg,dir_p90_deg,dir_bad_rate,endp_mean_px,endp_p90_px
controlA,linemod,kp0,49005,2.989,5.486,0.0209,0.0664,0.1047
controlA,linemod,kp1,49018,3.256,6.490,0.0407,0.0633,0.1169
controlA,linemod,kp2,49028,2.548,5.098,0.0161,0.0577,0.0994
controlA,linemod,kp3,48989,3.141,6.240,0.0317,0.0616,0.1144
controlA,linemod,kp4,48975,3.124,6.260,0.0345,0.0623,0.1163
controlA,linemod,kp5,48981,4.457,9.267,0.0884,0.1011,0.1824
controlA,linemod,kp6,48976,6.063,11.677,0.1280,0.1115,0.2123
controlA,linemod,kp7,48988,3.709,7.351,0.0596,0.0742,0.1383
controlA,linemod,kp8,48980,3.820,8.019,0.0679,0.0766,0.1471
controlA,occ,kp0,27792,5.153,12.457,0.1335,0.1241,0.2379
controlA,occ,kp1,27783,4.645,9.148,0.0731,0.1032,0.1678
controlA,occ,kp2,27773,16.862,29.755,0.6577,0.3058,0.5153
controlA,occ,kp3,27777,15.613,25.882,0.6499,0.2664,0.4403
controlA,occ,kp4,27769,6.774,11.744,0.1335,0.1190,0.2061
controlA,occ,kp5,27795,2.998,5.866,0.0457,0.0671,0.1107
controlA,occ,kp6,27807,5.703,11.335,0.1371,0.1057,0.2010
controlA,occ,kp7,27768,7.069,12.692,0.1582,0.1484,0.2299
controlA,occ,kp8,27769,6.393,12.405,0.1586,0.1170,0.2215
