tag,split,kp,count,dir_mean_deg,dir_p90_deg,dir_bad_rate,endp_mean_px,endp_p90_px
exp007,linemod,kp0,49005,3.083,5.518,0.0208,0.0768,0.1155
exp007,linemod,kp1,49018,3.092,6.207,0.0375,0.0613,0.1116
exp007,linemod,kp2,49028,2.388,4.767,0.0154,0.0513,0.0916
exp007,linemod,kp3,48989,3.493,6.265,0.0323,0.0696,0.1185
exp007,linemod,kp4,48975,2.986,5.946,0.0309,0.0591,0.1091
exp007,linemod,kp5,48981,4.435,9.177,0.0867,0.1021,0.1834
exp007,linemod,kp6,48976,6.212,11.921,0.1320,0.1173,0.2161
exp007,linemod,kp7,48988,3.728,7.419,0.0610,0.0749,0.1412
exp007,linemod,kp8,48980,4.135,8.594,0.0756,0.0808,0.1556
exp007,occ,kp0,27792,5.265,12.823,0.1394,0.1379,0.2443
exp007,occ,kp1,27783,4.747,9.407,0.0814,0.1116,0.1756
exp007,occ,kp2,27773,16.743,29.558,0.6508,0.3028,0.5118
exp007,occ,kp3,27777,15.701,26.749,0.6155,0.2696,0.4545
exp007,occ,kp4,27769,6.523,11.311,0.1258,0.1155,0.1990
exp007,occ,kp5,27795,2.967,5.836,0.0457,0.0624,0.1078
exp007,occ,kp6,27807,5.731,11.436,0.1429,0.1061,0.2030
exp007,occ,kp7,27768,7.577,14.098,0.1915,0.1623,0.2531
exp007,occ,kp8,27769,5.896,10.869,0.1176,0.1119,0.2005
