tag,split,kp,count,dir_mean_deg,dir_p90_deg,dir_bad_rate,endp_mean_px,endp_p90_px
ref199,linemod,kp0,49005,2.208,4.739,0.0231,0.0446,0.0872
ref199,linemod,kp1,49018,2.319,4.849,0.0273,0.0457,0.0874
ref199,linemod,kp2,49028,2.117,4.189,0.0170,0.0429,0.0781
ref199,linemod,kp3,48989,2.175,4.349,0.0164,0.0432,0.0787
ref199,linemod,kp4,48975,2.758,5.528,0.0303,0.0545,0.1012
ref199,linemod,kp5,48981,4.329,9.314,0.0892,0.0815,0.1704
ref199,linemod,kp6,48976,4.294,8.241,0.0738,0.0801,0.1524
ref199,linemod,kp7,48988,3.026,5.968,0.0399,0.0603,0.1119
ref199,linemod,kp8,48980,3.495,8.086,0.0670,0.0667,0.1473
ref199,occ,kp0,27792,4.126,9.112,0.0861,0.0771,0.1635
ref199,occ,kp1,27783,2.957,6.254,0.0299,0.0561,0.1112
ref199,occ,kp2,27773,11.279,21.840,0.3938,0.1961,0.3906
ref199,occ,kp3,27777,7.760,13.536,0.1833,0.1340,0.2372
ref199,occ,kp4,27769,4.450,9.558,0.0913,0.0789,0.1682
ref199,occ,kp5,27795,2.361,4.129,0.0277,0.0467,0.0764
ref199,occ,kp6,27807,3.091,6.438,0.0400,0.0579,0.1154
ref199,occ,kp7,27768,6.514,11.725,0.1289,0.1140,0.2134
ref199,occ,kp8,27769,3.560,8.099,0.0609,0.0698,0.1485
