tag,split,img,ADD_m,ADDS_m,proj_px,adds_pass_0.1d,add_pass_0.1d,proj_pass_5px
controlA,linemod,0,0.0200,0.0100,2.19,True,False,True
controlA,linemod,1,0.0233,0.0110,1.35,True,False,True
controlA,linemod,2,0.0268,0.0123,1.41,True,False,True
controlA,linemod,3,0.0090,0.0054,1.53,True,True,True
controlA,linemod,4,0.0270,0.0123,2.15,True,False,True
controlA,linemod,5,0.0081,0.0050,1.53,True,True,True
controlA,linemod,6,0.0061,0.0042,2.42,True,True,True
controlA,linemod,7,2.1554,2.0862,3.66,False,False,True
controlA,linemod,8,2.0969,2.0325,3.25,False,False,True
controlA,linemod,9,2.0457,1.9788,3.63,False,False,True
controlA,linemod,10,0.0095,0.0056,2.65,True,True,True
controlA,linemod,11,0.0272,0.0124,6.62,True,False,False
controlA,linemod,12,0.0245,0.0127,2.03,True,False,True
controlA,linemod,13,0.0255,0.0132,2.59,True,False,True
controlA,linemod,14,0.0304,0.0155,1.79,False,False,True
controlA,linemod,15,0.0431,0.0227,3.20,False,False,True
controlA,linemod,16,0.0042,0.0034,2.78,True,True,True
controlA,linemod,17,0.0041,0.0031,2.61,True,True,True
controlA,linemod,18,0.0042,0.0034,1.93,True,True,True
controlA,linemod,19,0.0073,0.0051,1.92,True,True,True
controlA,occ,0,0.0160,0.0085,4.39,True,False,True
controlA,occ,1,0.0707,0.0340,7.20,False,False,False
controlA,occ,2,0.0651,0.0302,4.62,False,False,True
controlA,occ,3,0.0154,0.0082,5.60,True,False,False
controlA,occ,4,0.0140,0.0077,4.56,True,True,True
controlA,occ,5,0.0574,0.0254,6.08,False,False,False
controlA,occ,6,0.0280,0.0122,4.60,True,False,True
controlA,occ,7,0.0373,0.0154,5.00,False,False,True
controlA,occ,8,0.1067,0.0629,8.95,False,False,False
controlA,occ,9,0.0573,0.0255,6.57,False,False,False
controlA,occ,10,0.0541,0.0239,6.07,False,False,False
controlA,occ,11,0.0347,0.0143,4.75,True,False,True
controlA,occ,12,0.0410,0.0170,4.58,False,False,True
controlA,occ,13,0.0601,0.0273,6.86,False,False,False
controlA,occ,14,0.0329,0.0138,5.98,True,False,False
controlA,occ,15,0.0405,0.0167,6.35,False,False,False
controlA,occ,16,0.0424,0.0218,6.77,False,False,False
controlA,occ,17,0.0179,0.0096,7.52,True,False,False
controlA,occ,18,1.4268,1.3911,3006.69,False,False,False
controlA,occ,19,1.4364,1.4009,2995.33,False,False,False
