tag,split,img,ADD_m,ADDS_m,proj_px,adds_pass_0.1d,add_pass_0.1d,proj_pass_5px
exp007,linemod,0,0.0099,0.0061,2.44,True,True,True
exp007,linemod,1,0.0122,0.0068,1.08,True,True,True
exp007,linemod,2,0.0158,0.0081,1.17,True,False,True
exp007,linemod,3,0.0025,0.0022,1.34,True,True,True
exp007,linemod,4,0.0181,0.0090,1.70,True,False,True
exp007,linemod,5,0.0030,0.0025,1.23,True,True,True
exp007,linemod,6,0.0067,0.0043,2.47,True,True,True
exp007,linemod,7,2.1446,2.0755,3.56,False,False,True
exp007,linemod,8,2.0876,2.0232,3.12,False,False,True
exp007,linemod,9,2.0344,1.9675,3.51,False,False,True
exp007,linemod,10,0.0041,0.0033,2.45,True,True,True
exp007,linemod,11,0.0209,0.0100,6.34,True,False,False
exp007,linemod,12,0.0304,0.0154,2.28,False,False,True
exp007,linemod,13,0.0302,0.0154,2.72,False,False,True
exp007,linemod,14,0.0364,0.0186,2.03,False,False,True
exp007,linemod,15,0.0474,0.0256,3.32,False,False,True
exp007,linemod,16,0.0106,0.0066,2.76,True,True,True
exp007,linemod,17,2.0524,2.0029,3.62,False,False,True
exp007,linemod,18,0.0117,0.0071,1.77,True,True,True
exp007,linemod,19,0.0153,0.0085,1.91,True,True,True
exp007,occ,0,0.0172,0.0092,4.44,True,False,True
exp007,occ,1,0.0652,0.0302,7.18,False,False,False
exp007,occ,2,0.0663,0.0310,4.62,False,False,True
exp007,occ,3,0.0148,0.0079,5.63,True,True,False
exp007,occ,4,0.0107,0.0061,4.39,True,True,True
exp007,occ,5,0.0556,0.0244,6.09,False,False,False
exp007,occ,6,0.0270,0.0119,4.54,True,False,True
exp007,occ,7,0.0365,0.0151,4.94,True,False,True
exp007,occ,8,0.1026,0.0593,8.68,False,False,False
exp007,occ,9,0.0550,0.0243,6.28,False,False,False
exp007,occ,10,0.0565,0.0253,6.01,False,False,False
exp007,occ,11,0.0317,0.0134,4.59,True,False,True
exp007,occ,12,0.0375,0.0155,4.57,False,False,True
exp007,occ,13,0.0602,0.0274,6.81,False,False,False
exp007,occ,14,0.0318,0.0135,5.91,True,False,False
exp007,occ,15,0.0399,0.0164,6.37,False,False,False
exp007,occ,16,0.0435,0.0224,7.23,False,False,False
exp007,occ,17,0.0260,0.0135,7.87,True,False,False
exp007,occ,18,1.4268,1.3911,3006.69,False,False,False
exp007,occ,19,1.4364,1.4009,2995.33,False,False,False
