tag,split,img,ADD_m,ADDS_m,proj_px,adds_pass_0.1d,add_pass_0.1d,proj_pass_5px
ref199,linemod,0,0.0180,0.0093,3.14,True,False,True
ref199,linemod,1,0.0155,0.0081,1.17,True,False,True
ref199,linemod,2,0.0050,0.0037,1.99,True,True,True
ref199,linemod,3,0.0081,0.0052,1.00,True,True,True
ref199,linemod,4,0.0090,0.0055,1.18,True,True,True
ref199,linemod,5,0.0114,0.0064,0.83,True,True,True
ref199,linemod,6,0.0063,0.0042,1.61,True,True,True
ref199,linemod,7,0.0302,0.0135,1.55,True,False,True
ref199,linemod,8,0.0194,0.0095,1.18,True,False,True
ref199,linemod,9,0.0122,0.0069,1.37,True,True,True
ref199,linemod,10,0.0056,0.0040,1.36,True,True,True
ref199,linemod,11,0.0256,0.0118,4.90,True,False,True
ref199,linemod,12,0.0082,0.0051,2.13,True,True,True
ref199,linemod,13,0.0203,0.0103,3.92,True,False,True
ref199,linemod,14,0.0158,0.0085,2.23,True,False,True
ref199,linemod,15,0.0200,0.0107,2.11,True,False,True
ref199,linemod,16,0.0049,0.0038,1.43,True,True,True
ref199,linemod,17,0.0218,0.0109,1.76,True,False,True
ref199,linemod,18,0.0102,0.0063,0.96,True,True,True
ref199,linemod,19,0.0066,0.0046,1.03,True,True,True
ref199,occ,0,0.0528,0.0274,2.67,False,False,True
ref199,occ,1,0.0128,0.0069,4.90,True,True,True
ref199,occ,2,0.0083,0.0053,1.35,True,True,True
ref199,occ,3,0.0157,0.0078,3.91,True,False,True
ref199,occ,4,0.0204,0.0095,1.98,True,False,True
ref199,occ,5,0.0174,0.0083,3.51,True,False,True
ref199,occ,6,0.0234,0.0102,3.97,True,False,True
ref199,occ,7,0.0083,0.0048,3.27,True,True,True
ref199,occ,8,0.0349,0.0148,4.93,True,False,True
ref199,occ,9,0.0061,0.0039,4.92,True,True,True
ref199,occ,10,0.0242,0.0112,4.73,True,False,True
ref199,occ,11,0.0331,0.0143,2.84,True,False,True
ref199,occ,12,0.0376,0.0170,2.33,False,False,True
ref199,occ,13,0.0265,0.0119,3.65,True,False,True
ref199,occ,14,0.0099,0.0059,2.71,True,True,True
ref199,occ,15,0.0406,0.0176,3.49,False,False,True
ref199,occ,16,0.0621,0.0353,5.63,False,False,False
ref199,occ,17,0.0448,0.0231,5.56,False,False,False
ref199,occ,18,0.1537,0.1085,11.67,False,False,False
ref199,occ,19,2.6876,2.6507,6.17,False,False,False
