epoch,lr,loss_seg,loss_vertex,loss_total,seconds
0,0.001,0.00276,0.00225,0.00502,2.2
1,0.001,0.02990,0.01661,0.04651,0.8
2,0.001,0.00691,0.00544,0.01235,0.7
3,0.001,0.01179,0.01430,0.02609,0.7
4,0.001,0.00725,0.00955,0.01680,1.2
5,0.001,0.00489,0.00644,0.01134,1.4
6,0.001,0.00587,0.00423,0.01009,1.1
7,0.001,0.00470,0.00397,0.00867,1.3
8,0.001,0.00479,0.00464,0.00943,1.0
9,0.001,0.01224,0.00745,0.01969,0.8
10,0.001,0.00776,0.00466,0.01243,0.9
11,0.001,0.00373,0.00490,0.00863,1.4
12,0.001,0.00335,0.00371,0.00705,1.5
13,0.001,0.00534,0.00302,0.00836,1.0
14,0.001,0.00245,0.00303,0.00548,1.8
15,0.001,0.00467,0.00401,0.00868,1.0
16,0.001,0.00278,0.00390,0.00669,1.4
17,0.001,0.00465,0.00406,0.00871,1.3
18,0.001,0.00460,0.00327,0.00786,1.1
19,0.0005,0.00791,0.00348,0.01139,0.6
