epoch,lr,loss_seg,loss_vertex,loss_total,seconds
0,0.001,0.00276,0.00225,0.00502,2.5
1,0.001,0.03231,0.01705,0.04936,0.9
2,0.001,0.00699,0.00548,0.01247,0.7
3,0.001,0.01253,0.01437,0.02690,0.7
4,0.001,0.00812,0.00955,0.01767,1.4
5,0.001,0.00537,0.00651,0.01188,1.6
6,0.001,0.00626,0.00424,0.01050,1.3
7,0.001,0.00491,0.00396,0.00888,1.4
8,0.001,0.00492,0.00464,0.00956,1.2
9,0.001,0.01251,0.00733,0.01984,0.9
10,0.001,0.00800,0.00463,0.01264,1.0
11,0.001,0.00391,0.00487,0.00878,1.6
12,0.001,0.00355,0.00371,0.00726,1.6
13,0.001,0.00566,0.00307,0.00874,1.1
14,0.001,0.00261,0.00307,0.00568,2.0
15,0.001,0.00477,0.00396,0.00873,1.2
16,0.001,0.00278,0.00386,0.00665,1.6
17,0.001,0.00461,0.00403,0.00863,1.4
18,0.001,0.00458,0.00327,0.00786,1.2
19,0.0005,0.00793,0.00352,0.01145,0.7
