split,method,count,mean_deg,median_deg,p90_deg,fallback_frac
linemod,baseline,440940,2.969,1.699,6.046,
linemod,local_r3,440940,0.362,0.001,0.925,0.00000
linemod,local_r7,440940,1.562,0.349,3.605,0.00000
linemod,local_r15,440940,5.781,2.979,12.456,0.00000
linemod,local_r30,440940,16.196,9.648,34.893,0.00000
linemod,global,440940,0.001,0.001,0.001,
occ,baseline,250033,5.121,2.822,10.901,
occ,local_r3,250033,0.569,0.001,1.393,0.00000
occ,local_r7,250033,2.330,0.738,5.277,0.00000
occ,local_r15,250033,7.926,4.671,17.184,0.00000
occ,local_r30,250033,18.266,12.215,39.412,0.00000
occ,global,250033,0.001,0.001,0.001,
