split,method,baseline_mean,oracle_mean,gap_mean,baseline_median,oracle_median,gap_median
linemod,local_r3,2.969,0.362,2.607,1.699,0.001,1.699
linemod,local_r7,2.969,1.562,1.407,1.699,0.349,1.351
linemod,local_r15,2.969,5.781,-2.812,1.699,2.979,-1.279
linemod,local_r30,2.969,16.196,-13.227,1.699,9.648,-7.948
linemod,global,2.969,0.001,2.968,1.699,0.001,1.699
occ,local_r3,5.121,0.569,4.552,2.822,0.001,2.821
occ,local_r7,5.121,2.330,2.791,2.822,0.738,2.085
occ,local_r15,5.121,7.926,-2.805,2.822,4.671,-1.848
occ,local_r30,5.121,18.266,-13.145,2.822,12.215,-9.393
occ,global,5.121,0.001,5.120,2.822,0.001,2.822
