fit,epoch,train_loss
D1-linemod,0,0.002869
D1-linemod,1,0.002908
D1-linemod,2,0.002842
D1-linemod,3,0.002789
D1-linemod,4,0.002777
D1-linemod,5,0.002766
D1-occ,0,0.008945
D1-occ,1,0.007966
D1-occ,2,0.007636
D1-occ,3,0.007061
D1-occ,4,0.006805
D1-occ,5,0.006643
D2-linemod,0,0.002869
D2-linemod,1,0.002874
D2-linemod,2,0.002833
D2-linemod,3,0.002797
D2-linemod,4,0.002783
D2-linemod,5,0.002769
D2-occ,0,0.008945
D2-occ,1,0.007963
D2-occ,2,0.007848
D2-occ,3,0.007321
D2-occ,4,0.007190
D2-occ,5,0.007129
