dataset,image_id,rgb,D0_mean_kp_error,D1_mean_kp_error,D0_median_kp_error,D1_median_kp_error,D0_max_kp_error,D1_max_kp_error,D0_catastrophic,D1_catastrophic,delta_mean,delta_median
linemod,20,000052.jpg,0.9503,1.4617,0.9100,1.3148,1.39,2.32,0,0,0.5114,0.4048
linemod,21,000053.jpg,0.6290,0.7165,0.7349,0.7494,0.99,1.35,0,0,0.0875,0.0145
linemod,22,000055.jpg,0.7980,1.2212,0.8699,1.1574,1.41,2.15,0,0,0.4231,0.2876
linemod,23,000056.jpg,1.1253,1.2850,1.2831,1.3122,1.61,2.25,0,0,0.1597,0.0291
linemod,24,000057.jpg,1.3755,1.4773,1.0783,1.3962,2.78,3.07,0,0,0.1018,0.3180
linemod,25,000058.jpg,0.8223,0.9858,0.7308,0.9231,1.52,1.57,0,0,0.1636,0.1924
linemod,26,000059.jpg,0.6049,0.6414,0.4502,0.5922,1.34,1.14,0,0,0.0365,0.1421
linemod,27,000061.jpg,1.2585,1.5218,1.2779,1.3299,1.95,2.41,0,0,0.2633,0.0519
linemod,28,000063.jpg,1.0626,1.2720,0.9532,1.0488,1.68,2.31,0,0,0.2095,0.0956
linemod,29,000074.jpg,2.1539,2.0994,1.9138,1.7858,4.02,4.06,0,0,-0.0545,-0.1280
linemod,30,000075.jpg,1.7730,2.0530,1.7552,1.6983,2.75,3.19,0,0,0.2800,-0.0569
linemod,31,000077.jpg,1.6021,1.6798,1.7442,1.6484,2.70,2.65,0,0,0.0777,-0.0959
linemod,32,000078.jpg,1.9047,1.6076,1.8651,1.4118,2.43,2.46,0,0,-0.2972,-0.4534
linemod,33,000079.jpg,2.1930,1.6946,2.1511,1.9170,3.05,2.27,0,0,-0.4984,-0.2341
linemod,34,000080.jpg,1.7360,1.2566,1.8333,1.2772,2.66,1.87,0,0,-0.4794,-0.5561
linemod,35,000083.jpg,1.3535,1.5262,1.3144,1.3253,2.30,2.70,0,0,0.1727,0.0110
linemod,36,000087.jpg,0.7906,1.0143,0.8631,1.0395,1.21,1.36,0,0,0.2236,0.1764
linemod,37,000091.jpg,0.7261,0.6178,0.6679,0.5905,2.22,1.14,0,0,-0.1083,-0.0774
linemod,38,000092.jpg,1.1883,1.3670,1.3219,1.3171,2.41,2.79,0,0,0.1787,-0.0048
linemod,39,000095.jpg,0.4784,0.6949,0.4715,0.5754,0.84,1.26,0,0,0.2165,0.1039
occ,20,color_00024.png,14.0835,15.9914,12.8198,16.2163,27.93,26.97,0,0,1.9080,3.3964
occ,21,color_00025.png,399.1617,398.0683,391.2730,391.1811,456.89,450.12,1,1,-1.0934,-0.0919
occ,22,color_00026.png,8.3012,11.6433,5.9049,7.6994,19.06,29.71,0,0,3.3422,1.7945
occ,23,color_00027.png,479.6399,479.6399,478.4301,478.4301,508.99,508.99,1,1,0.0000,0.0000
occ,24,color_00028.png,5.7447,6.9998,5.8072,8.4525,10.38,11.66,0,0,1.2551,2.6453
occ,25,color_00029.png,4.3659,4.3514,4.6668,3.7811,6.93,9.52,0,0,-0.0145,-0.8858
occ,26,color_00030.png,2.5086,2.6990,2.4243,2.1596,4.21,7.43,0,0,0.1904,-0.2646
occ,27,color_00031.png,2.1263,2.3162,1.9856,1.9012,4.28,5.54,0,0,0.1899,-0.0844
occ,28,color_00032.png,2.1957,2.1906,1.8143,2.0800,4.54,4.81,0,0,-0.0051,0.2658
occ,29,color_00033.png,2.5751,1.6485,2.0611,1.0884,4.71,3.58,0,0,-0.9266,-0.9728
occ,30,color_00034.png,2.6666,1.6602,2.2043,1.1049,4.65,3.97,0,0,-1.0064,-1.0994
occ,31,color_00035.png,1.5653,2.7276,1.4653,2.7199,2.92,5.85,0,0,1.1623,1.2546
occ,32,color_00036.png,1.6011,1.8129,1.2437,1.4652,2.93,4.76,0,0,0.2118,0.2214
occ,33,color_00037.png,2.8761,1.0594,2.9249,0.7517,4.60,2.51,0,0,-1.8167,-2.1732
occ,34,color_00038.png,3.3962,2.0733,3.7472,1.9395,5.30,4.20,0,0,-1.3229,-1.8076
occ,35,color_00039.png,3.1825,1.2791,2.8674,1.2970,6.32,2.55,0,0,-1.9034,-1.5704
occ,36,color_00040.png,3.1027,1.8134,3.4134,1.6416,5.19,3.65,0,0,-1.2893,-1.7718
occ,37,color_00041.png,2.9965,1.4578,2.8416,1.1545,6.24,2.71,0,0,-1.5387,-1.6871
occ,38,color_00042.png,3.4946,1.8895,3.3593,1.8207,5.76,3.91,0,0,-1.6051,-1.5386
occ,39,color_00043.png,2.6124,1.4616,2.4061,1.4503,5.62,2.50,0,0,-1.1508,-0.9558
