dataset,image_id,method,keypoint_id,error_px
linemod,20,D0,0,0.8105
linemod,20,D0,1,0.9100
linemod,20,D0,2,0.6395
linemod,20,D0,3,1.3905
linemod,20,D0,4,1.2349
linemod,20,D0,5,0.4485
linemod,20,D0,6,0.8447
linemod,20,D0,7,1.3291
linemod,20,D0,8,0.9454
linemod,20,D1,0,1.2708
linemod,20,D1,1,0.9928
linemod,20,D1,2,0.9347
linemod,20,D1,3,1.9834
linemod,20,D1,4,2.3204
linemod,20,D1,5,1.3148
linemod,20,D1,6,1.1881
linemod,20,D1,7,1.6227
linemod,20,D1,8,1.5276
linemod,21,D0,0,0.2971
linemod,21,D0,1,0.8566
linemod,21,D0,2,0.1885
linemod,21,D0,3,0.9933
linemod,21,D0,4,0.8663
linemod,21,D0,5,0.4402
linemod,21,D0,6,0.8075
linemod,21,D0,7,0.7349
linemod,21,D0,8,0.4762
linemod,21,D1,0,0.7139
linemod,21,D1,1,0.8514
linemod,21,D1,2,0.7494
linemod,21,D1,3,0.9303
linemod,21,D1,4,0.2068
linemod,21,D1,5,1.3495
linemod,21,D1,6,1.0644
linemod,21,D1,7,0.4408
linemod,21,D1,8,0.1416
linemod,22,D0,0,0.8699
linemod,22,D0,1,1.0988
linemod,22,D0,2,0.3484
linemod,22,D0,3,1.0642
linemod,22,D0,4,0.3541
linemod,22,D0,5,1.4062
linemod,22,D0,6,1.2080
linemod,22,D0,7,0.0919
linemod,22,D0,8,0.7408
linemod,22,D1,0,1.5187
linemod,22,D1,1,1.1574
linemod,22,D1,2,0.9420
linemod,22,D1,3,1.4030
linemod,22,D1,4,1.0743
linemod,22,D1,5,2.1482
linemod,22,D1,6,1.4633
linemod,22,D1,7,0.2780
linemod,22,D1,8,1.0057
linemod,23,D0,0,0.1732
linemod,23,D0,1,1.2831
linemod,23,D0,2,1.3916
linemod,23,D0,3,0.5982
linemod,23,D0,4,1.2295
linemod,23,D0,5,1.5629
linemod,23,D0,6,1.3085
linemod,23,D0,7,1.6078
linemod,23,D0,8,0.9731
linemod,23,D1,0,0.7392
linemod,23,D1,1,1.4238
linemod,23,D1,2,0.6758
linemod,23,D1,3,1.0486
linemod,23,D1,4,1.3738
linemod,23,D1,5,2.2498
linemod,23,D1,6,1.5057
linemod,23,D1,7,1.3122
linemod,23,D1,8,1.2361
linemod,24,D0,0,1.0878
linemod,24,D0,1,0.6046
linemod,24,D0,2,0.8107
linemod,24,D0,3,2.1280
linemod,24,D0,4,0.9834
linemod,24,D0,5,2.7833
linemod,24,D0,6,2.0530
linemod,24,D0,7,0.8501
linemod,24,D0,8,1.0783
linemod,24,D1,0,1.6649
linemod,24,D1,1,0.4752
linemod,24,D1,2,1.1686
linemod,24,D1,3,2.1274
linemod,24,D1,4,0.6212
linemod,24,D1,5,3.0748
linemod,24,D1,6,2.1625
linemod,24,D1,7,0.6049
linemod,24,D1,8,1.3962
linemod,25,D0,0,0.7873
linemod,25,D0,1,1.5214
linemod,25,D0,2,0.6494
linemod,25,D0,3,0.4379
linemod,25,D0,4,1.0532
linemod,25,D0,5,0.6113
linemod,25,D0,6,0.7308
linemod,25,D0,7,1.2875
linemod,25,D0,8,0.3218
linemod,25,D1,0,1.5459
linemod,25,D1,1,1.5658
linemod,25,D1,2,0.9231
linemod,25,D1,3,0.7087
linemod,25,D1,4,0.8967
linemod,25,D1,5,0.9655
linemod,25,D1,6,0.7439
linemod,25,D1,7,0.9947
linemod,25,D1,8,0.5282
linemod,26,D0,0,0.9094
linemod,26,D0,1,0.9871
linemod,26,D0,2,1.3396
linemod,26,D0,3,0.7126
linemod,26,D0,4,0.2693
linemod,26,D0,5,0.4502
linemod,26,D0,6,0.3190
linemod,26,D0,7,0.3310
linemod,26,D0,8,0.1259
linemod,26,D1,0,0.6790
linemod,26,D1,1,0.8975
linemod,26,D1,2,0.5072
linemod,26,D1,3,1.1371
linemod,26,D1,4,1.0636
linemod,26,D1,5,0.5922
linemod,26,D1,6,0.2751
linemod,26,D1,7,0.0416
linemod,26,D1,8,0.5790
linemod,27,D0,0,0.6692
