dataset,image_id,rgb,D0_kp_mean,D1_kp_mean,D0_kp_median,D1_kp_median,D0_kp_max,D1_kp_max,D0_rotation_error,D1_rotation_error,D0_translation_error,D1_translation_error,D0_reprojection_error,D1_reprojection_error,D0_flip,D1_flip,D0_voting_catastrophic,D1_voting_catastrophic,delta_kp_mean,delta_kp_median
linemod,20,000052.jpg,0.9503,1.4617,0.9100,1.3148,1.39,2.32,1.025,2.513,16.71,16.00,0.735,1.288,0,0,0,0,0.5114,0.4048
occ,20,color_00024.png,14.0835,15.9914,12.8198,16.2163,27.93,26.97,180.000,165.557,3441.41,3383.09,10.414,13.202,1,1,0,0,1.9080,3.3964
linemod,21,000053.jpg,0.6290,0.7165,0.7349,0.7494,0.99,1.35,0.914,1.955,1.64,0.31,0.367,0.392,0,0,0,0,0.0875,0.0145
occ,21,color_00025.png,399.1617,398.0683,391.2730,391.1811,456.89,450.12,149.329,147.464,989.42,1012.62,401.458,400.237,1,1,1,1,-1.0934,-0.0919
linemod,22,000055.jpg,0.7980,1.2212,0.8699,1.1574,1.41,2.15,2.221,3.689,8.21,6.56,0.686,0.990,0,0,0,0,0.4231,0.2876
occ,22,color_00026.png,8.3012,11.6433,5.9049,7.6994,19.06,29.71,30.744,161.543,184.66,1414.67,7.944,40072.268,0,1,0,0,3.3422,1.7945
linemod,23,000056.jpg,1.1253,1.2850,1.2831,1.3122,1.61,2.25,2.731,2.766,23.47,22.35,0.960,1.108,0,0,0,0,0.1597,0.0291
occ,23,color_00027.png,479.6399,479.6399,478.4301,478.4301,508.99,508.99,108.926,108.926,1432.00,1432.00,2828.705,2828.705,1,1,1,1,0.0000,0.0000
linemod,24,000057.jpg,1.3755,1.4773,1.0783,1.3962,2.78,3.07,4.331,3.681,16.53,13.84,1.183,1.393,0,0,0,0,0.1018,0.3180
occ,24,color_00028.png,5.7447,6.9998,5.8072,8.4525,10.38,11.66,16.169,171.591,126.94,2624.59,4.828,6.169,0,1,0,0,1.2551,2.6453
linemod,25,000058.jpg,0.8223,0.9858,0.7308,0.9231,1.52,1.57,1.730,2.019,12.68,10.53,0.609,0.710,0,0,0,0,0.1636,0.1924
occ,25,color_00029.png,4.3659,4.3514,4.6668,3.7811,6.93,9.52,9.468,10.413,141.49,130.82,3.508,3.994,0,0,0,0,-0.0145,-0.8858
linemod,26,000059.jpg,0.6049,0.6414,0.4502,0.5922,1.34,1.14,0.354,0.888,25.21,18.73,0.493,0.526,0,0,0,0,0.0365,0.1421
occ,26,color_00030.png,2.5086,2.6990,2.4243,2.1596,4.21,7.43,6.214,6.967,90.44,86.25,1.875,2.520,0,0,0,0,0.1904,-0.2646
linemod,27,000061.jpg,1.2585,1.5218,1.2779,1.3299,1.95,2.41,2.525,3.306,13.42,8.56,1.131,1.351,0,0,0,0,0.2633,0.0519
occ,27,color_00031.png,2.1263,2.3162,1.9856,1.9012,4.28,5.54,5.691,6.997,42.67,48.82,1.690,2.047,0,0,0,0,0.1899,-0.0844
linemod,28,000063.jpg,1.0626,1.2720,0.9532,1.0488,1.68,2.31,2.686,3.341,4.80,1.17,0.826,1.032,0,0,0,0,0.2095,0.0956
occ,28,color_00032.png,2.1957,2.1906,1.8143,2.0800,4.54,4.81,7.600,6.103,16.58,15.23,1.731,2.019,0,0,0,0,-0.0051,0.2658
linemod,29,000074.jpg,2.1539,2.0994,1.9138,1.7858,4.02,4.06,3.273,4.062,33.97,32.87,2.110,2.011,0,0,0,0,-0.0545,-0.1280
occ,29,color_00033.png,2.5751,1.6485,2.0611,1.0884,4.71,3.58,9.361,177.982,8.63,2525.22,2.180,1.509,0,1,0,0,-0.9266,-0.9728
linemod,30,000075.jpg,1.7730,2.0530,1.7552,1.6983,2.75,3.19,3.500,4.457,33.49,34.07,1.594,1.758,0,0,0,0,0.2800,-0.0569
occ,30,color_00034.png,2.6666,1.6602,2.2043,1.1049,4.65,3.97,9.398,5.746,21.79,24.83,2.254,1.381,0,0,0,0,-1.0064,-1.0994
linemod,31,000077.jpg,1.6021,1.6798,1.7442,1.6484,2.70,2.65,2.213,2.995,7.35,2.23,1.341,1.376,0,0,0,0,0.0777,-0.0959
