condition,image_id,rgb,keypoint_mean_error_px,keypoint_median_error_px,keypoint_p90_error_px,rotation_error_deg,translation_error_mm,add_mm,add_pass,mean_reprojection_error_px,median_reprojection_error_px,flip_gt_90,flip_gt_120,flip_gt_150,flip_gt_170,pnp_ok
C0_gt,20,color_00024.png,0.0000,0.0000,0.0000,0.0000,0.08,0.0823,1,0.0001,0.0001,0,0,0,0,1
C0_gt,21,color_00025.png,0.0000,0.0000,0.0000,0.0000,0.09,0.0879,1,0.0000,0.0000,0,0,0,0,1
C0_gt,22,color_00026.png,0.0000,0.0000,0.0000,0.0000,0.09,0.0881,1,0.0000,0.0000,0,0,0,0,1
C0_gt,23,color_00027.png,0.0000,0.0000,0.0000,0.0000,0.09,0.0873,1,0.0000,0.0000,0,0,0,0,1
C0_gt,24,color_00028.png,0.0000,0.0000,0.0000,0.0000,0.09,0.0869,1,0.0000,0.0000,0,0,0,0,1
C0_gt,25,color_00029.png,0.0000,0.0000,0.0000,0.0000,0.09,0.0857,1,0.0000,0.0000,0,0,0,0,1
C0_gt,26,color_00030.png,0.0000,0.0000,0.0000,0.0000,0.08,0.0850,1,0.0000,0.0000,0,0,0,0,1
C0_gt,27,color_00031.png,0.0000,0.0000,0.0000,0.0000,0.08,0.0836,1,0.0000,0.0000,0,0,0,0,1
C0_gt,28,color_00032.png,0.0000,0.0000,0.0000,0.0000,0.08,0.0831,1,0.0000,0.0000,0,0,0,0,1
C0_gt,29,color_00033.png,0.0000,0.0000,0.0000,0.0000,0.08,0.0839,1,0.0000,0.0000,0,0,0,0,1
C0_gt,30,color_00034.png,0.0000,0.0000,0.0000,0.0000,0.08,0.0843,1,0.0000,0.0000,0,0,0,0,1
C0_gt,31,color_00035.png,0.0000,0.0000,0.0000,0.0000,0.09,0.0851,1,0.0000,0.0000,0,0,0,0,1
C0_gt,32,color_00036.png,0.0000,0.0000,0.0000,0.0000,0.08,0.0828,1,0.0001,0.0001,0,0,0,0,1
C0_gt,33,color_00037.png,0.0000,0.0000,0.0000,0.0000,0.08,0.0813,1,0.0001,0.0001,0,0,0,0,1
C0_gt,34,color_00038.png,0.0000,0.0000,0.0000,0.0000,0.08,0.0799,1,0.0001,0.0001,0,0,0,0,1
C0_gt,35,color_00039.png,0.0000,0.0000,0.0000,0.0000,0.08,0.0806,1,0.0001,0.0001,0,0,0,0,1
C0_gt,36,color_00040.png,0.0000,0.0000,0.0000,0.0000,0.08,0.0812,1,0.0001,0.0001,0,0,0,0,1
C0_gt,37,color_00041.png,0.0000,0.0000,0.0000,0.0000,0.09,0.0859,1,0.0000,0.0000,0,0,0,0,1
C0_gt,38,color_00042.png,0.0000,0.0000,0.0000,0.0000,0.09,0.0863,1,0.0000,0.0000,0,0,0,0,1
