arm,image_id,rgb,mean_dx,mean_dy,std_dx,std_dy,mean_residual_norm_px,cov_xx,cov_xy,cov_yy,eig_max,eig_min,anisotropy_ratio,coherent_shift_norm_px,relative_scatter_mean_px,relative_scatter_p90_px,flip_gt_90,kp_mean_px,kp_median_px,mean_reprojection_error_px,rotation_error_deg
D0,20,color_00024.png,8.027242,3.751490,11.294946,7.449497,14.083451,127.575806,8.519130,55.495003,128.568985,54.501824,2.358985,8.860603,11.465187,17.382231,1,14.083500,12.819800,10.414500,180.000000
D0,21,color_00025.png,-398.618993,8.142190,38.133240,19.989595,399.161708,1454.144001,43.591626,399.583893,1455.942850,397.785044,3.660125,398.702141,36.800210,58.256523,1,399.161700,391.273000,401.458200,149.329100
D0,22,color_00026.png,2.357198,5.944472,5.117053,6.746468,8.301189,26.184235,16.168384,45.514833,54.686589,17.012479,3.214499,6.394773,6.888000,12.613217,0,8.301200,5.904900,7.943600,30.744400
D0,23,color_00027.png,-423.382738,-224.970364,18.274731,17.086163,479.639916,333.965779,105.312606,291.936968,420.340154,205.562592,2.044828,479.441975,21.838224,29.642027,1,479.639900,478.430100,2828.704600,108.926100
D0,24,color_00028.png,2.460127,-0.572539,4.267187,4.924537,5.744700,18.208888,-6.951536,24.251064,28.809608,13.650343,2.110541,2.525871,5.249466,9.892802,0,5.744700,5.807200,4.828000,16.168700
D0,25,color_00029.png,-0.525784,2.011866,2.186885,3.927759,4.365915,4.782468,1.142257,15.427293,15.548485,4.661276,3.335671,2.079436,3.920176,5.253070,0,4.365900,4.666800,3.508500,9.468300
D0,26,color_00030.png,-0.415334,0.262570,1.597591,2.401640,2.508642,2.552297,-0.281098,5.767873,5.792261,2.527909,2.291325,0.491371,2.493953,3.785577,0,2.508600,2.424300,1.874600,6.213500
D0,27,color_00031.png,-0.703705,-1.202421,0.899676,1.993195,2.126328,0.809418,0.001219,3.972825,3.972825,0.809417,4.908254,1.393204,1.886702,3.069861,0,2.126300,1.985600,1.689500,5.691300
D0,28,color_00032.png,-0.299910,-1.229801,0.800365,2.232689,2.195663,0.640585,-1.165229,4.984901,5.277704,0.347782,15.175306,1.265842,1.950271,3.450950,0,2.195700,1.814300,1.730700,7.599600
D0,29,color_00033.png,-0.912153,-1.162352,1.075046,2.480635,2.575140,1.155725,-2.260880,6.153548,7.024523,0.284749,24.669143,1.477527,2.125989,3.757518,0,2.575100,2.061100,2.179900,9.360800
D0,30,color_00034.png,-1.268555,-0.936584,0.891440,2.629246,2.666641,0.794664,-1.324267,6.912937,7.187267,0.520334,13.812789,1.576839,2.255195,3.865801,0,2.666600,2.204300,2.253600,9.397600
D0,31,color_00035.png,0.312853,-1.133291,1.071451,0.853639,1.565303,1.148007,-0.536359,0.728699,1.514231,0.362475,4.177479,1.175680,1.181931,1.841947,0,1.565300,1.465300,1.295600,3.599500
D0,32,color_00036.png,-0.532104,-0.745115,0.998950,1.295964,1.601125,0.997901,-0.996085,1.679522,2.391487,0.285936,8.363715,0.915604,1.306226,2.240369,0,1.601100,1.243700,1.290600,4.987200
D0,33,color_00037.png,-1.868900,-0.898552,1.468985,1.875464,2.876114,2.157918,-1.841340,3.517365,4.800435,0.874848,5.487163,2.073688,2.075790,3.222081,0,2.876100,2.924900,2.498600,6.571700
D0,34,color_00038.png,-1.818007,-0.014779,1.558208,2.894364,3.396212,2.428013,-1.805832,8.377341,8.882570,1.922784,4.619641,1.818067,2.841569,4.294525,0,3.396200,3.747200,2.739000,7.263800
D0,35,color_00039.png,-1.570899,-0.203050,2.003901,2.733342,3.182495,4.015618,-1.990697,7.471156,8.379305,3.107469,2.696505,1.583968,2.886980,4.854370,0,3.182500,2.867400,2.715800,9.509800
D0,36,color_00040.png,-1.338081,0.121146,1.828539,2.871003,3.102674,3.343556,-0.724360,8.242657,8.347514,3.238699,2.577428,1.343553,2.823219,4.412402,0,3.102700,3.413400,2.680600,9.158900
D0,37,color_00041.png,-1.670451,-1.324987,2.276652,1.561686,2.996515,5.183144,-2.190556,2.438864,6.395826,1.226182,5.216049,2.132134,2.251634,3.587905,0,2.996500,2.841600,2.788200,9.748200
