condition,image_id,rgb,rotation_error_deg,translation_error_mm,add_mm,mean_reprojection_error_px,flip_gt_90,flip_gt_120,flip_gt_150,flip_gt_170,J_pred_px,J_gt_px,delta_px,repro_ok_vs_exp017
C0_gt,20,color_00024.png,0.0000,0.08,0.0823,0.0001,0,0,0,0,0.000081,0.000013,-0.000069,1
C0_gt,21,color_00025.png,0.0000,0.09,0.0879,0.0000,0,0,0,0,0.000054,0.000010,-0.000043,1
C0_gt,22,color_00026.png,0.0000,0.09,0.0881,0.0000,0,0,0,0,0.000036,0.000010,-0.000026,1
C0_gt,23,color_00027.png,0.0000,0.09,0.0873,0.0000,0,0,0,0,0.000033,0.000009,-0.000024,1
C0_gt,24,color_00028.png,0.0000,0.09,0.0869,0.0000,0,0,0,0,0.000029,0.000008,-0.000020,1
C0_gt,25,color_00029.png,0.0000,0.09,0.0857,0.0000,0,0,0,0,0.000015,0.000007,-0.000008,1
C0_gt,26,color_00030.png,0.0000,0.08,0.0850,0.0000,0,0,0,0,0.000020,0.000009,-0.000010,1
C0_gt,27,color_00031.png,0.0000,0.08,0.0836,0.0000,0,0,0,0,0.000037,0.000009,-0.000028,1
C0_gt,28,color_00032.png,0.0000,0.08,0.0831,0.0000,0,0,0,0,0.000048,0.000010,-0.000039,1
C0_gt,29,color_00033.png,0.0000,0.08,0.0839,0.0000,0,0,0,0,0.000052,0.000010,-0.000043,1
C0_gt,30,color_00034.png,0.0000,0.08,0.0843,0.0000,0,0,0,0,0.000052,0.000008,-0.000044,1
C0_gt,31,color_00035.png,0.0000,0.09,0.0851,0.0000,0,0,0,0,0.000047,0.000011,-0.000036,1
C0_gt,32,color_00036.png,0.0000,0.08,0.0828,0.0001,0,0,0,0,0.000062,0.000012,-0.000050,1
C0_gt,33,color_00037.png,0.0000,0.08,0.0813,0.0001,0,0,0,0,0.000093,0.000008,-0.000085,1
C0_gt,34,color_00038.png,0.0000,0.08,0.0799,0.0001,0,0,0,0,0.000098,0.000010,-0.000089,1
C0_gt,35,color_00039.png,0.0000,0.08,0.0806,0.0001,0,0,0,0,0.000084,0.000009,-0.000075,1
C0_gt,36,color_00040.png,0.0000,0.08,0.0812,0.0001,0,0,0,0,0.000080,0.000012,-0.000068,1
C0_gt,37,color_00041.png,0.0000,0.09,0.0859,0.0000,0,0,0,0,0.000057,0.000013,-0.000044,1
C0_gt,38,color_00042.png,0.0000,0.09,0.0863,0.0000,0,0,0,0,0.000057,0.000009,-0.000047,1
C0_gt,39,color_00043.png,0.0000,0.09,0.0851,0.0000,0,0,0,0,0.000047,0.000010,-0.000037,1
C1_D0,20,color_00024.png,180.0000,3441.41,3442.4556,10.4145,1,1,1,1,4.845409,14.083450,9.238041,1
C1_D0,21,color_00025.png,149.3291,989.42,990.1219,401.4582,1,1,0,0,4.319068,399.161707,394.842639,1
C1_D0,22,color_00026.png,30.7444,184.66,184.9981,7.9436,0,0,0,0,3.843681,8.301185,4.457503,1
C1_D0,23,color_00027.png,108.9261,1432.00,1432.4097,2828.7046,1,0,0,0,589.725805,479.639920,-110.085885,1
C1_D0,24,color_00028.png,16.1687,126.94,127.3538,4.8280,0,0,0,0,2.426908,5.744700,3.317792,1
C1_D0,25,color_00029.png,9.4683,141.49,141.5457,3.5085,0,0,0,0,0.595523,4.365917,3.770394,1
C1_D0,26,color_00030.png,6.2135,90.44,90.4756,1.8746,0,0,0,0,0.436944,2.508644,2.071700,1
C1_D0,27,color_00031.png,5.6913,42.67,42.7437,1.6895,0,0,0,0,0.377484,2.126329,1.748846,1
C1_D0,28,color_00032.png,7.5996,16.58,16.9487,1.7307,0,0,0,0,0.345309,2.195664,1.850354,1
C1_D0,29,color_00033.png,9.3608,8.63,9.7330,2.1799,0,0,0,0,0.394374,2.575138,2.180764,1
C1_D0,30,color_00034.png,9.3976,21.79,22.1992,2.2536,0,0,0,0,0.201033,2.666643,2.465609,1
C1_D0,31,color_00035.png,3.5995,36.33,36.3702,1.2956,0,0,0,0,0.256113,1.565301,1.309188,1
C1_D0,32,color_00036.png,4.9872,20.76,20.8787,1.2906,0,0,0,0,0.306850,1.601124,1.294274,1
C1_D0,33,color_00037.png,6.5717,37.49,37.6580,2.4986,0,0,0,0,0.308048,2.876114,2.568066,1
C1_D0,34,color_00038.png,7.2638,29.80,30.1641,2.7390,0,0,0,0,0.594529,3.396210,2.801680,1
C1_D0,35,color_00039.png,9.5098,62.19,62.4112,2.7158,0,0,0,0,0.514345,3.182493,2.668147,1
C1_D0,36,color_00040.png,9.1589,57.28,57.5426,2.6806,0,0,0,0,0.367699,3.102673,2.734974,1
C1_D0,37,color_00041.png,9.7482,46.35,46.5903,2.7882,0,0,0,0,0.526232,2.996508,2.470276,1
C1_D0,38,color_00042.png,10.9441,31.04,31.4385,3.2345,0,0,0,0,0.420962,3.494648,3.073686,1
C1_D0,39,color_00043.png,176.2012,2547.65,2548.8718,2.6271,1,1,1,1,0.855895,2.612415,1.756520,1
C2_D1,20,color_00024.png,165.5574,3383.09,3384.2266,13.2017,1,1,1,0,6.394991,15.991409,9.596418,1
C2_D1,21,color_00025.png,147.4644,1012.62,1013.2905,400.2365,1,1,0,0,3.802835,398.068348,394.265513,1
C2_D1,22,color_00026.png,161.5427,1414.67,1416.4526,40072.2679,1,1,1,0,2001.281857,11.643346,-1989.638511,1
C2_D1,23,color_00027.png,108.9261,1432.00,1432.4097,2828.7046,1,0,0,0,589.725805,479.639920,-110.085885,1
C2_D1,24,color_00028.png,171.5912,2624.59,2625.9361,6.1694,1,1,1,1,2.316546,6.999791,4.683246,1
C2_D1,25,color_00029.png,10.4126,130.82,130.8920,3.9937,0,0,0,0,0.599692,4.351412,3.751720,1
C2_D1,26,color_00030.png,6.9669,86.25,86.3061,2.5197,0,0,0,0,0.773196,2.699018,1.925823,1
C2_D1,27,color_00031.png,6.9970,48.82,48.9335,2.0468,0,0,0,0,0.740319,2.316201,1.575883,1
C2_D1,28,color_00032.png,6.1027,15.23,15.6194,2.0192,0,0,0,0,0.675423,2.190562,1.515140,1
C2_D1,29,color_00033.png,177.9822,2525.22,2526.5229,1.5092,1,1,1,1,0.868715,1.648540,0.779825,1
C2_D1,30,color_00034.png,5.7465,24.83,25.0003,1.3810,0,0,0,0,0.593862,1.660202,1.066341,1
C2_D1,31,color_00035.png,176.5324,2581.22,2582.5518,2.6002,1,1,1,1,0.843347,2.727633,1.884287,1
C2_D1,32,color_00036.png,3.8590,38.14,38.1935,1.6223,0,0,0,0,0.750633,1.812938,1.062305,1
C2_D1,33,color_00037.png,180.0000,2398.07,2399.3632,1.0555,1,1,1,1,1.261562,1.059413,-0.202149,1
C2_D1,34,color_00038.png,178.6629,2397.55,2398.7961,1.4428,1,1,1,1,1.744467,2.073282,0.328814,1
C2_D1,35,color_00039.png,179.1685,2378.86,2380.0897,0.9442,1,1,1,1,1.584249,1.279111,-0.305138,1
C2_D1,36,color_00040.png,178.9337,2400.45,2401.6689,1.3028,1,1,1,1,1.522529,1.813398,0.290869,1
C2_D1,37,color_00041.png,178.2629,2559.22,2560.4100,1.2125,1,1,1,1,1.113280,1.457800,0.344520,1
C2_D1,38,color_00042.png,179.0011,2597.49,2598.7105,1.6649,1,1,1,1,0.960450,1.889524,0.929074,1
C2_D1,39,color_00043.png,179.0317,2586.81,2588.0512,1.0532,1,1,1,1,0.998484,1.461647,0.463163,1
