image,D0_flip,D1_flip,D0_reproj,D1_reproj,D0_rot,D1_rot,D1_correct_hyp_exists,D1_best_correct_reproj,D1_best_wrong_reproj,D1_flip_gt_150,D1_delta_px,diagnosis,D0_J_gt_px,D0_J_pred_px,D0_delta_px,D0_diagnosis
color_00024.png,1,1,10.4145,13.2017,180.000,165.557,True,15.991409,6.394991,1,9.596418,REPROJECTION_AMBIGUITY,14.083450,4.845409,9.238041,REPROJECTION_AMBIGUITY
color_00025.png,1,1,401.4582,400.2365,149.329,147.464,True,398.068348,3.802835,0,394.265513,REPROJECTION_AMBIGUITY,399.161707,4.319068,394.842639,REPROJECTION_AMBIGUITY
color_00026.png,0,1,7.9436,40072.2679,30.744,161.543,True,11.643346,2001.281857,1,-1989.638511,SELECTION_FAILURE,8.301185,3.843681,4.457503,NORMAL
color_00027.png,1,1,2828.7046,2828.7046,108.926,108.926,True,479.639920,589.725805,0,-110.085885,SELECTION_FAILURE,479.639920,589.725805,-110.085885,SELECTION_FAILURE
color_00028.png,0,1,4.8280,6.1694,16.169,171.591,True,6.999791,2.316546,1,4.683246,REPROJECTION_AMBIGUITY,5.744700,2.426908,3.317792,NORMAL
color_00029.png,0,0,3.5085,3.9937,9.468,10.413,True,4.351412,0.599692,0,3.751720,NORMAL,4.365917,0.595523,3.770394,NORMAL
color_00030.png,0,0,1.8746,2.5197,6.213,6.967,True,2.699018,0.773196,0,1.925823,NORMAL,2.508644,0.436944,2.071700,NORMAL
color_00031.png,0,0,1.6895,2.0468,5.691,6.997,True,2.316201,0.740319,0,1.575883,NORMAL,2.126329,0.377484,1.748846,NORMAL
color_00032.png,0,0,1.7307,2.0192,7.600,6.103,True,2.190562,0.675423,0,1.515140,NORMAL,2.195664,0.345309,1.850354,NORMAL
color_00033.png,0,1,2.1799,1.5092,9.361,177.982,True,1.648540,0.868715,1,0.779825,REPROJECTION_AMBIGUITY,2.575138,0.394374,2.180764,NORMAL
color_00034.png,0,0,2.2536,1.3810,9.398,5.747,True,1.660202,0.593862,0,1.066341,NORMAL,2.666643,0.201033,2.465609,NORMAL
color_00035.png,0,1,1.2956,2.6002,3.599,176.532,True,2.727633,0.843347,1,1.884287,REPROJECTION_AMBIGUITY,1.565301,0.256113,1.309188,NORMAL
color_00036.png,0,0,1.2906,1.6223,4.987,3.859,True,1.812938,0.750633,0,1.062305,NORMAL,1.601124,0.306850,1.294274,NORMAL
color_00037.png,0,1,2.4986,1.0555,6.572,180.000,True,1.059413,1.261562,1,-0.202149,SELECTION_FAILURE,2.876114,0.308048,2.568066,NORMAL
color_00038.png,0,1,2.7390,1.4428,7.264,178.663,True,2.073282,1.744467,1,0.328814,REPROJECTION_AMBIGUITY,3.396210,0.594529,2.801680,NORMAL
color_00039.png,0,1,2.7158,0.9442,9.510,179.168,True,1.279111,1.584249,1,-0.305138,SELECTION_FAILURE,3.182493,0.514345,2.668147,NORMAL
color_00040.png,0,1,2.6806,1.3028,9.159,178.934,True,1.813398,1.522529,1,0.290869,REPROJECTION_AMBIGUITY,3.102673,0.367699,2.734974,NORMAL
color_00041.png,0,1,2.7882,1.2125,9.748,178.263,True,1.457800,1.113280,1,0.344520,REPROJECTION_AMBIGUITY,2.996508,0.526232,2.470276,NORMAL
color_00042.png,0,1,3.2345,1.6649,10.944,179.001,True,1.889524,0.960450,1,0.929074,REPROJECTION_AMBIGUITY,3.494648,0.420962,3.073686,NORMAL
color_00043.png,1,1,2.6271,1.0532,176.201,179.032,True,1.461647,0.998484,1,0.463163,REPROJECTION_AMBIGUITY,2.612415,0.855895,1.756520,REPROJECTION_AMBIGUITY
