condition,group,scale,anisotropy_level,shift_level,RMS,mean_norm,anisotropy_median_achieved,all20_flip_120,all20_flip_150,all20_flip_170,all20_RA_150,all20_SF_150,all20_mean_delta_J,all20_median_delta_J,all20_P_deltaJ_gt0,all20_median_delta_J_flip150,all20_n_divergence,clean18_flip_120,clean18_flip_150,clean18_flip_170,clean18_RA_150,clean18_SF_150,clean18_mean_delta_J,clean18_median_delta_J,clean18_P_deltaJ_gt0,clean18_median_delta_J_flip150,clean18_n_divergence,all20_flip_90,clean18_flip_90,clean18_flip_150
C0_gt,control,n/a,n/a,n/a,0.0,0.0,nan,0,0,0,0,0,-4.425e-05,-4.3e-05,0.0,nan,0,0,0,0,0,0,-4.638888888888888e-05,-4.35e-05,0.0,nan,0,0,0,0
C1_D0_real,control,n/a,n/a,n/a,47.9555,47.4098,4.302,3,2,2,2,0,16.826728400000004,2.519171,0.95,5.4972805000000005,2,3,2,2,2,0,24.56460833333334,2.519171,1.0,5.4972805000000005,1,4,3,2
C2_D1_real,control,n/a,n/a,n/a,47.7377,47.1392,3.567,13,12,10,9,3,-83.78843710000001,0.9956895,0.8,0.40384149999999996,3,12,11,10,9,2,23.553091888888886,1.064323,0.8888888888888888,0.463163,1,14,12,11
ISO_S05,grid,0.5,ISOTROPIC,ZERO,1.2117,1.0874,2.669,5,4,3,0,4,-201.8313215,0.078544,0.75,-0.48057150000000004,2,4,3,2,0,3,-224.2679881111111,0.078544,0.7777777777777778,-0.563454,2,5,4,3
ISO_S10,grid,1.0,ISOTROPIC,ZERO,2.4235,2.1748,2.669,13,13,12,6,7,-131.97936139999996,0.144237,0.65,-0.024984,2,11,11,11,5,6,-61.42199316666667,0.1685375,0.6666666666666666,-0.024984,1,13,11,11
ISO_S15,grid,1.5,ISOTROPIC,ZERO,3.6352,3.2622,2.669,13,13,13,10,3,-53.81838425000001,0.3223695,0.85,0.161361,1,11,11,11,8,3,-59.85207644444446,0.306662,0.8333333333333334,0.144547,1,13,11,11
D1G_S05,grid,0.5,D1_LIKE,D1_LIKE,1.2117,1.0501,4.114,1,1,1,0,1,0.25792705000000005,0.22486450000000002,0.95,-0.352214,0,1,1,1,0,1,0.24497533333333335,0.215838,0.9444444444444444,-0.352214,0,1,1,1
D1G_S10,grid,1.0,D1_LIKE,D1_LIKE,2.4235,2.1001,4.114,11,11,9,6,5,-218.58809630000002,0.401084,0.75,0.073475,3,10,10,8,5,5,-242.94823105555554,0.33854799999999996,0.7222222222222222,0.024419499999999997,3,11,10,10
D1G_S15,grid,1.5,D1_LIKE,D1_LIKE,3.6352,3.1502,4.114,12,12,12,10,2,-129.88510775,0.7162435,0.9,0.5395095,2,11,11,11,9,2,-144.43414916666669,0.598209,0.8888888888888888,0.43519,2,12,11,11
ISO_S10_SH,mechanism,1.0,ISOTROPIC,D1_LIKE,2.4235,2.145,2.669,11,11,11,8,3,-76.31314859999999,0.44562100000000004,0.85,0.295979,1,10,10,10,7,3,-84.8580996111111,0.44562100000000004,0.8333333333333334,0.197842,1,11,10,10
D1G_S10_NS,mechanism,1.0,D1_LIKE,ZERO,2.4235,2.1427,4.114,11,11,11,7,4,-130.9561788,0.18011,0.8,0.050782,2,10,10,10,6,4,-145.55884216666666,0.18011,0.7777777777777778,0.027592,2,11,10,10
