condition,group,scale,anisotropy_level,shift_level,image_id,rgb,rot_err_deg,trans_err_mm,add_mm,reproj_official_px,flip_gt_90,flip_gt_120,flip_gt_150,flip_gt_170,J_gt_px,J_pred_px,delta_J_px,res_rms_px,res_meannorm_px,res_coherent_px,res_lambda_max,res_lambda_min,res_anisotropy,res_max_px,res_median_px,kp_err_median_px,flag_solver_divergence,flag_catastrophic_kp,flag_pnp_exception,in_clean18
C0_gt,control,,n/a,n/a,20,color_00024.png,0.0000,0.08,0.0823,0.0001,0,0,0,0,0.000013,0.000081,-0.000069,0.000000,0.000000,0.000000,0.000000,0.000000,nan,0.0000,0.0000,0.0000,0,0,0,1
C0_gt,control,,n/a,n/a,21,color_00025.png,0.0000,0.09,0.0879,0.0000,0,0,0,0,0.000010,0.000054,-0.000043,0.000000,0.000000,0.000000,0.000000,0.000000,nan,0.0000,0.0000,0.0000,0,0,0,1
C0_gt,control,,n/a,n/a,22,color_00026.png,0.0000,0.09,0.0881,0.0000,0,0,0,0,0.000010,0.000036,-0.000026,0.000000,0.000000,0.000000,0.000000,0.000000,nan,0.0000,0.0000,0.0000,0,0,0,0
C0_gt,control,,n/a,n/a,23,color_00027.png,0.0000,0.09,0.0873,0.0000,0,0,0,0,0.000009,0.000033,-0.000024,0.000000,0.000000,0.000000,0.000000,0.000000,nan,0.0000,0.0000,0.0000,0,0,0,0
C0_gt,control,,n/a,n/a,24,color_00028.png,0.0000,0.09,0.0869,0.0000,0,0,0,0,0.000008,0.000029,-0.000020,0.000000,0.000000,0.000000,0.000000,0.000000,nan,0.0000,0.0000,0.0000,0,0,0,1
C0_gt,control,,n/a,n/a,25,color_00029.png,0.0000,0.09,0.0857,0.0000,0,0,0,0,0.000007,0.000015,-0.000008,0.000000,0.000000,0.000000,0.000000,0.000000,nan,0.0000,0.0000,0.0000,0,0,0,1
C0_gt,control,,n/a,n/a,26,color_00030.png,0.0000,0.08,0.0850,0.0000,0,0,0,0,0.000009,0.000020,-0.000010,0.000000,0.000000,0.000000,0.000000,0.000000,nan,0.0000,0.0000,0.0000,0,0,0,1
C0_gt,control,,n/a,n/a,27,color_00031.png,0.0000,0.08,0.0836,0.0000,0,0,0,0,0.000009,0.000037,-0.000028,0.000000,0.000000,0.000000,0.000000,0.000000,nan,0.0000,0.0000,0.0000,0,0,0,1
C0_gt,control,,n/a,n/a,28,color_00032.png,0.0000,0.08,0.0831,0.0000,0,0,0,0,0.000010,0.000048,-0.000039,0.000000,0.000000,0.000000,0.000000,0.000000,nan,0.0000,0.0000,0.0000,0,0,0,1
C0_gt,control,,n/a,n/a,29,color_00033.png,0.0000,0.08,0.0839,0.0000,0,0,0,0,0.000010,0.000052,-0.000043,0.000000,0.000000,0.000000,0.000000,0.000000,nan,0.0000,0.0000,0.0000,0,0,0,1
C0_gt,control,,n/a,n/a,30,color_00034.png,0.0000,0.08,0.0843,0.0000,0,0,0,0,0.000008,0.000052,-0.000044,0.000000,0.000000,0.000000,0.000000,0.000000,nan,0.0000,0.0000,0.0000,0,0,0,1
C0_gt,control,,n/a,n/a,31,color_00035.png,0.0000,0.09,0.0851,0.0000,0,0,0,0,0.000011,0.000047,-0.000036,0.000000,0.000000,0.000000,0.000000,0.000000,nan,0.0000,0.0000,0.0000,0,0,0,1
C0_gt,control,,n/a,n/a,32,color_00036.png,0.0000,0.08,0.0828,0.0001,0,0,0,0,0.000012,0.000062,-0.000050,0.000000,0.000000,0.000000,0.000000,0.000000,nan,0.0000,0.0000,0.0000,0,0,0,1
C0_gt,control,,n/a,n/a,33,color_00037.png,0.0000,0.08,0.0813,0.0001,0,0,0,0,0.000008,0.000093,-0.000085,0.000000,0.000000,0.000000,0.000000,0.000000,nan,0.0000,0.0000,0.0000,0,0,0,1
C0_gt,control,,n/a,n/a,34,color_00038.png,0.0000,0.08,0.0799,0.0001,0,0,0,0,0.000010,0.000098,-0.000089,0.000000,0.000000,0.000000,0.000000,0.000000,nan,0.0000,0.0000,0.0000,0,0,0,1
C0_gt,control,,n/a,n/a,35,color_00039.png,0.0000,0.08,0.0806,0.0001,0,0,0,0,0.000009,0.000084,-0.000075,0.000000,0.000000,0.000000,0.000000,0.000000,nan,0.0000,0.0000,0.0000,0,0,0,1
C0_gt,control,,n/a,n/a,36,color_00040.png,0.0000,0.08,0.0812,0.0001,0,0,0,0,0.000012,0.000080,-0.000068,0.000000,0.000000,0.000000,0.000000,0.000000,nan,0.0000,0.0000,0.0000,0,0,0,1
C0_gt,control,,n/a,n/a,37,color_00041.png,0.0000,0.09,0.0859,0.0000,0,0,0,0,0.000013,0.000057,-0.000044,0.000000,0.000000,0.000000,0.000000,0.000000,nan,0.0000,0.0000,0.0000,0,0,0,1
C0_gt,control,,n/a,n/a,38,color_00042.png,0.0000,0.09,0.0863,0.0000,0,0,0,0,0.000009,0.000057,-0.000047,0.000000,0.000000,0.000000,0.000000,0.000000,nan,0.0000,0.0000,0.0000,0,0,0,1
