condition,subset,n,sigma,rms_mean_over_images,rms_stat_kind,mean_norm,median_norm,p90_norm,coherent_shift,flip_90,flip_120,flip_150,flip_170,mean_rot,median_rot,mean_reproj,median_reproj,median_delta_J,mean_delta_J,P_deltaJ_gt0,n_divergence,n_exception
C0_gt,all20,20,,0.0,median over images (real residuals are heteroscedastic; median is the placement stat),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0,0
C0_gt,clean18,18,,0.0,median over images (real residuals are heteroscedastic; median is the placement stat),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0,0
C1_D0_real,all20,20,,3.4218824999999997,median over images (real residuals are heteroscedastic; median is the placement stat),47.4098398,46.683015,53.46371499999999,45.98090474999999,0.2,0.15,0.1,0.1,38.544,9.433,164.423,2.698,2.5192,16.8267,0.95,2,0
C1_D0_real,clean18,18,,3.4218824999999997,median over images (real residuals are heteroscedastic; median is the placement stat),47.4098398,46.683015,53.46371499999999,45.98090474999999,0.1667,0.1667,0.1111,0.1111,35.067,9.379,25.1,2.654,2.5192,24.5646,1.0,1,0
C2_D1_real,all20,20,,2.42347,median over images (real residuals are heteroscedastic; median is the placement stat),47.13917535000001,46.41674999999999,53.04329,46.0498853,0.7,0.65,0.6,0.5,120.137,168.574,2167.347,1.842,0.9957,-83.7884,0.8,3,0
C2_D1_real,clean18,18,,2.42347,median over images (real residuals are heteroscedastic; median is the placement stat),47.13917535000001,46.41674999999999,53.04329,46.0498853,0.6667,0.6667,0.6111,0.5556,118.46,174.062,24.776,1.644,1.0643,23.5531,0.8889,1,0
SIG_S000,all20,20,0.0,0.0,mean over images,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0,0
SIG_S000,clean18,18,0.0,0.0,mean over images,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0,0
SIG_S025,all20,20,0.25,0.35143769999999996,mean over images,0.3153129,0.299795,0.49053500000000005,0.0980327,0.0,0.0,0.0,0.0,0.095,0.0,0.158,0.15,0.0532,0.065,1.0,0,0
SIG_S025,clean18,18,0.25,0.35143769999999996,mean over images,0.3153129,0.299795,0.49053500000000005,0.0980327,0.0,0.0,0.0,0.0,0.07,0.0,0.155,0.15,0.0518,0.0628,1.0,0,0
SIG_S050,all20,20,0.5,0.7028752,mean over images,0.6306257,0.59958,0.9810599999999999,0.1960656,0.0,0.0,0.0,0.0,0.739,0.652,0.317,0.299,0.1068,0.1301,1.0,0,0
SIG_S050,clean18,18,0.5,0.7028752,mean over images,0.6306257,0.59958,0.9810599999999999,0.1960656,0.0,0.0,0.0,0.0,0.64,0.643,0.309,0.299,0.1033,0.1255,1.0,0,0
SIG_S075,all20,20,0.75,1.0543128000000002,mean over images,0.9459386000000001,0.8993800000000001,1.47159,0.2940982,0.15,0.15,0.15,0.15,28.001,1.345,0.525,0.481,0.1295,0.1393,0.85,0,0
SIG_S075,clean18,18,0.75,1.0543128000000002,mean over images,0.9459386000000001,0.8993800000000001,1.47159,0.2940982,0.1111,0.1111,0.1111,0.1111,20.946,1.311,0.502,0.448,0.1295,0.1413,0.8889,0,0
SIG_S100,all20,20,1.0,1.4057503500000004,mean over images,1.26125145,1.199165,1.9621099999999998,0.392131,0.45,0.45,0.4,0.35,79.124,3.694,3014.33,0.848,0.1673,-219.6422,0.6,3,0
SIG_S100,clean18,18,1.0,1.4057503500000004,mean over images,1.26125145,1.199165,1.9621099999999998,0.392131,0.4444,0.4444,0.3889,0.3333,77.688,3.192,3349.155,0.848,0.1673,-244.0724,0.6111,3,0
SIG_S125,all20,20,1.25,1.7571879,mean over images,1.5765644,1.498965,2.452645,0.49016365000000006,0.5,0.5,0.5,0.5,90.681,87.637,312.027,0.907,0.194,-76.4793,0.7,1,0
SIG_S125,clean18,18,1.25,1.7571879,mean over images,1.5765644,1.498965,2.452645,0.49016365000000006,0.5,0.5,0.5,0.5,90.469,87.113,346.576,0.907,0.194,-85.0138,0.6667,1,0
SIG_S150,all20,20,1.5,2.10862555,mean over images,1.8918772499999998,1.7987399999999998,2.94318,0.5881964500000001,0.55,0.55,0.55,0.5,99.322,168.997,702.736,1.094,0.2381,-132.5918,0.65,2,0
SIG_S150,clean18,18,1.5,2.10862555,mean over images,1.8918772499999998,1.7987399999999998,2.94318,0.5881964500000001,0.5556,0.5556,0.5556,0.5,100.01,168.997,780.676,1.094,0.2381,-147.3721,0.6111,2,0
SIG_S175,all20,20,1.75,2.46006315,mean over images,2.20719025,2.0985449999999997,3.4337000000000004,0.68622925,0.6,0.6,0.6,0.55,108.557,177.987,607.001,1.251,0.2923,-130.6248,0.75,2,0
SIG_S175,clean18,18,1.75,2.46006315,mean over images,2.20719025,2.0985449999999997,3.4337000000000004,0.68622925,0.5556,0.5556,0.5556,0.5556,101.367,177.987,259.873,1.251,0.3111,-59.974,0.7778,1,0
SIG_S200,all20,20,2.0,2.8115007000000003,mean over images,2.5225030500000005,2.39834,3.9242199999999996,0.78426175,0.6,0.6,0.6,0.6,109.201,177.61,189.533,1.409,0.3645,-53.7406,0.8,1,0
SIG_S200,clean18,18,2.0,2.8115007000000003,mean over images,2.5225030500000005,2.39834,3.9242199999999996,0.78426175,0.5556,0.5556,0.5556,0.5556,101.48,177.016,210.411,1.409,0.3645,-59.7629,0.7778,1,0
SIG_S250,all20,20,2.5,3.5143758999999997,mean over images,3.15312865,2.997915,4.905285,0.9803274000000002,0.6,0.6,0.6,0.6,109.632,177.799,196.743,1.742,0.4651,-53.7574,0.9,1,0
SIG_S250,clean18,18,2.5,3.5143758999999997,mean over images,3.15312865,2.997915,4.905285,0.9803274000000002,0.5556,0.5556,0.5556,0.5556,102.008,177.032,218.379,1.742,0.4651,-59.8039,0.8889,1,0
SIG_S300,all20,20,3.0,4.21725105,mean over images,3.7837545500000003,3.5975099999999998,5.886340000000001,1.1763928499999998,0.65,0.65,0.65,0.65,118.674,177.547,287.168,2.078,0.5606,-53.4391,0.95,1,0
SIG_S300,clean18,18,3.0,4.21725105,mean over images,3.7837545500000003,3.5975099999999998,5.886340000000001,1.1763928499999998,0.6111,0.6111,0.6111,0.6111,112.103,177.547,318.806,2.078,0.5606,-59.4724,0.9444,1,0
SIG_S400,all20,20,4.0,5.6230016,mean over images,5.045006000000001,4.7966549999999994,7.848465,1.5685236000000002,0.65,0.65,0.65,0.6,118.443,174.319,651.755,3.029,0.7572,-162.9389,0.9,2,0
SIG_S400,clean18,18,4.0,5.6230016,mean over images,5.045006000000001,4.7966549999999994,7.848465,1.5685236000000002,0.6111,0.6111,0.6111,0.5556,111.949,172.974,723.809,3.029,0.7429,-181.1833,0.8889,2,0
