condition,nominal_sigma,actual_rms_mean,actual_rms_pooled,mean_norm,median_norm,p90_norm,coherent_shift,flip150_all20,flip150_clean18,flip170_all20,flip170_clean18,median_rot_clean18,median_reproj_clean18,P_deltaJ_gt0_all20,P_deltaJ_gt0_clean18,median_delta_J_clean18,mean_delta_J_clean18,n_divergence,delta_flip150_all20,delta_flip150_clean18,delta_P_RA_clean18,delta_median_dJ_clean18
SIG_S000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0,,,,
SIG_S025,0.25,0.3514,0.3566,0.3153,0.2998,0.4905,0.098,0.0,0.0,0.0,0.0,0.0,0.15,1.0,1.0,0.0518,0.0628,0,0.0,0.0,1.0,0.0518
SIG_S050,0.5,0.7029,0.7132,0.6306,0.5996,0.9811,0.1961,0.0,0.0,0.0,0.0,0.643,0.299,1.0,1.0,0.1033,0.1255,0,0.0,0.0,0.0,0.0515
SIG_S075,0.75,1.0543,1.0698,0.9459,0.8994,1.4716,0.2941,0.15,0.1111,0.15,0.1111,1.311,0.448,0.85,0.8889,0.1295,0.1413,0,0.15,0.1111,-0.1111,0.0262
SIG_S100,1.0,1.4058,1.4264,1.2613,1.1992,1.9621,0.3921,0.4,0.3889,0.35,0.3333,3.192,0.848,0.6,0.6111,0.1673,-244.0724,3,0.25,0.2778,-0.2778,0.0378
SIG_S125,1.25,1.7572,1.7831,1.5766,1.499,2.4526,0.4902,0.5,0.5,0.5,0.5,87.113,0.907,0.7,0.6667,0.194,-85.0138,1,0.1,0.1111,0.0556,0.0267
SIG_S150,1.5,2.1086,2.1397,1.8919,1.7987,2.9432,0.5882,0.55,0.5556,0.5,0.5,168.997,1.094,0.65,0.6111,0.2381,-147.3721,2,0.05,0.0556,-0.0556,0.0441
SIG_S175,1.75,2.4601,2.4963,2.2072,2.0985,3.4337,0.6862,0.6,0.5556,0.55,0.5556,177.987,1.251,0.75,0.7778,0.3111,-59.974,2,0.05,0.0,0.1667,0.073
SIG_S200,2.0,2.8115,2.8529,2.5225,2.3983,3.9242,0.7843,0.6,0.5556,0.6,0.5556,177.016,1.409,0.8,0.7778,0.3645,-59.7629,1,0.0,0.0,0.0,0.0534
SIG_S250,2.5,3.5144,3.5661,3.1531,2.9979,4.9053,0.9803,0.6,0.5556,0.6,0.5556,177.032,1.742,0.9,0.8889,0.4651,-59.8039,1,0.0,0.0,0.1111,0.1006
SIG_S300,3.0,4.2173,4.2793,3.7838,3.5975,5.8863,1.1764,0.65,0.6111,0.65,0.6111,177.547,2.078,0.95,0.9444,0.5606,-59.4724,1,0.05,0.0555,0.0555,0.0955
SIG_S400,4.0,5.623,5.7058,5.045,4.7967,7.8485,1.5685,0.65,0.6111,0.6,0.5556,172.974,3.029,0.9,0.8889,0.7429,-181.1833,2,0.0,0.0,-0.0555,0.1823
