condition,group,sigma,image_id,rgb,rot_err_deg,trans_err_mm,add_mm,reproj_official_px,flip_gt_90,flip_gt_120,flip_gt_150,flip_gt_170,J_gt_px,J_pred_px,delta_J_px,res_rms_px,res_meannorm_px,res_coherent_px,res_median_px,res_p90_px,kp_err_median_px,flag_solver_divergence,flag_catastrophic_kp,flag_pnp_exception,in_clean18
C0_gt,control,,20,color_00024.png,0.0000,0.08,0.0823,0.0001,0,0,0,0,0.000013,0.000081,-0.000069,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,0,0,0,1
C0_gt,control,,21,color_00025.png,0.0000,0.09,0.0879,0.0000,0,0,0,0,0.000010,0.000054,-0.000043,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,0,0,0,1
C0_gt,control,,22,color_00026.png,0.0000,0.09,0.0881,0.0000,0,0,0,0,0.000010,0.000036,-0.000026,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,0,0,0,0
C0_gt,control,,23,color_00027.png,0.0000,0.09,0.0873,0.0000,0,0,0,0,0.000009,0.000033,-0.000024,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,0,0,0,0
C0_gt,control,,24,color_00028.png,0.0000,0.09,0.0869,0.0000,0,0,0,0,0.000008,0.000029,-0.000020,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,0,0,0,1
C0_gt,control,,25,color_00029.png,0.0000,0.09,0.0857,0.0000,0,0,0,0,0.000007,0.000015,-0.000008,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,0,0,0,1
C0_gt,control,,26,color_00030.png,0.0000,0.08,0.0850,0.0000,0,0,0,0,0.000009,0.000020,-0.000010,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,0,0,0,1
C0_gt,control,,27,color_00031.png,0.0000,0.08,0.0836,0.0000,0,0,0,0,0.000009,0.000037,-0.000028,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,0,0,0,1
C0_gt,control,,28,color_00032.png,0.0000,0.08,0.0831,0.0000,0,0,0,0,0.000010,0.000048,-0.000039,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,0,0,0,1
C0_gt,control,,29,color_00033.png,0.0000,0.08,0.0839,0.0000,0,0,0,0,0.000010,0.000052,-0.000043,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,0,0,0,1
