image_id,rgb,in_clean18,first_sigma_flip150,first_flip_actual_rms_px,first_sigma_deltaJ_positive,n_levels_flip150,rot_at_sigma4
20,color_00024.png,1,1.25,1.5531,0.25,7,177.44
21,color_00025.png,1,3.0,2.783,0.25,2,180.0
22,color_00026.png,0,1.75,2.7804,0.25,5,175.4
23,color_00027.png,0,0.75,1.0985,0.25,9,178.38
24,color_00028.png,1,1.25,1.91,0.25,7,173.24
25,color_00029.png,1,NA,NA,0.25,0,12.03
26,color_00030.png,1,NA,NA,0.25,0,9.68
27,color_00031.png,1,NA,NA,0.25,0,6.51
28,color_00032.png,1,1.0,1.3565,0.25,8,178.04
29,color_00033.png,1,NA,NA,0.25,0,7.56
30,color_00034.png,1,1.0,1.3314,0.25,8,169.54
31,color_00035.png,1,NA,NA,0.25,0,12.27
32,color_00036.png,1,0.75,1.2851,0.25,9,178.19
33,color_00037.png,1,NA,NA,0.25,0,12.06
34,color_00038.png,1,1.0,1.3196,0.25,8,179.52
35,color_00039.png,1,0.75,1.3163,0.25,9,180.0
36,color_00040.png,1,1.0,1.6836,0.25,8,172.71
37,color_00041.png,1,NA,NA,0.25,0,7.96
38,color_00042.png,1,1.5,1.6672,0.25,6,179.45
39,color_00043.png,1,1.0,1.454,0.25,8,178.87
