split,image_index,A_consistency_px,B_consistency_px
linemod,0,0.4880,5.1080
linemod,1,0.4464,5.2750
linemod,2,0.3767,6.8851
linemod,3,0.4713,5.8381
linemod,4,0.4052,7.0606
linemod,5,0.4009,6.1991
linemod,6,0.3932,6.1975
linemod,7,0.3614,5.6446
linemod,8,0.3634,5.6391
linemod,9,0.4174,6.6688
linemod,10,0.4681,6.6981
linemod,11,0.4560,5.8710
linemod,12,0.4805,5.9197
linemod,13,0.4626,5.0155
linemod,14,0.4860,5.4953
linemod,15,0.5250,5.2861
linemod,16,0.4697,5.0641
linemod,17,0.4380,5.0595
linemod,18,0.4419,4.5896
linemod,19,0.4221,4.5105
occ,0,0.4063,5.3802
occ,1,0.3897,5.3816
occ,2,0.4064,4.8401
occ,3,0.4600,5.5002
occ,4,0.3992,5.1501
occ,5,0.4833,5.9611
occ,6,0.4290,5.4929
occ,7,0.4595,5.3772
occ,8,0.5676,5.3495
occ,9,0.4906,5.9037
occ,10,0.5354,5.6743
occ,11,0.4349,4.6463
occ,12,0.4173,4.2213
occ,13,0.4226,5.0764
occ,14,0.4092,5.3130
occ,15,0.3692,5.3587
occ,16,0.4269,5.0947
occ,17,0.6607,5.8657
occ,18,0.7452,3.2601
occ,19,0.6620,2.6725
