split,image_index,A_median_px,B_median_px
linemod,0,3.1744,73.8076
linemod,1,1.1338,79.4021
linemod,2,1.3623,87.7852
linemod,3,0.6040,89.9999
linemod,4,0.6639,82.3605
linemod,5,0.5524,89.3336
linemod,6,0.8653,69.0564
linemod,7,1.4367,69.7477
linemod,8,0.9246,79.2703
linemod,9,1.1033,96.1240
linemod,10,0.8806,80.8458
linemod,11,4.5966,80.3583
linemod,12,2.0860,82.7613
linemod,13,4.0534,83.9833
linemod,14,2.1937,80.4274
linemod,15,2.0340,80.8813
linemod,16,1.1312,87.4962
linemod,17,1.1313,91.0277
linemod,18,0.6056,83.6328
linemod,19,0.8151,84.0981
occ,0,1.5713,75.8518
occ,1,2.1925,76.1955
occ,2,0.7575,71.1294
occ,3,1.4527,79.0791
occ,4,1.5088,79.8227
occ,5,2.3937,89.8623
occ,6,2.8217,77.9796
occ,7,2.5562,77.2828
occ,8,3.1280,71.3466
occ,9,3.7173,91.6577
occ,10,4.0802,69.2260
occ,11,2.3411,79.1770
occ,12,1.6584,77.2064
occ,13,1.4379,74.0621
occ,14,1.2117,72.8328
occ,15,2.1150,65.0469
occ,16,3.9038,79.3966
occ,17,3.1703,82.4247
occ,18,8.4201,55.3328
occ,19,6.0579,55.4273
