fit,epoch,L_dir,L_conf,L_struct,total
OCVF-linemod,1,0.084612,0.184078,0.903992,1.172681
OCVF-linemod,2,0.390286,0.186168,0.357926,0.934380
OCVF-linemod,3,0.404583,0.189062,0.326485,0.920131
OCVF-linemod,4,0.400647,0.193169,0.303453,0.897269
OCVF-linemod,5,0.384251,0.199830,0.278726,0.862807
OCVF-occ,1,0.116326,0.278233,0.704160,1.098719
OCVF-occ,2,0.387881,0.278482,0.263702,0.930065
OCVF-occ,3,0.379889,0.278980,0.230721,0.889590
OCVF-occ,4,0.339974,0.279335,0.246909,0.866218
OCVF-occ,5,0.307722,0.279691,0.275769,0.863182
